question,body,A,B,C,D,E,gpt-4_answer,gpt-4_probs
QUESTÃO 18,"TEXTO 1 Descrição da imagem: Cartaz que apresenta a fotografia de um cachorro e um gato abraçados e deitados no chão, ao lado de uma placa com o texto: “Adote um animal de rua”. Do lado direito do cartaz, em destaque, a seguinte mensagem: “Ei... me leve para sua casa!!! Décima quarta feira de adoção de cães e gatos”. Na parte inferior, uma caixa de texto informa: “Documentos obrigatórios para adoção: carteira de identidade, CPF, comprovante de residência” e, logo abaixo, um complemento: “E muito amor!!”. TEXTO 2 Nas ruas, na cidade e no parque Ninguém nunca prendeu o Delegado. O vaivém de rua em rua e sua longa vida são relembrados e recontados. Exemplo de sobrevivência, liderança, inteligência canina, desde pequenininho seu focinho negro e seus olhos delineados desenharam um mapa mental olfativo-visual de Lavras. Corria de quem precisava correr e se aproximava de quem não lhe faria mal, distinguia este daquele. Assim, tornou-se um cão comunitário. Nunca se soube por que escolheu a rua, talvez lhe tenham feito mal dentro de quatro paredes. Idoso, teve câncer e desapareceu. O querido foi procurado pela cidade inteira por duas protetoras, mas nunca encontrado. Os dois textos abordam a temática de animais de rua, porém, em relação ao Texto 1, o Texto 2 ",A problematiza a necessidade de adoção de animais sem lar. ,B valida a troca afetiva entre os pets adotados e seus donos. ,C reforça a importância da campanha de adoção de animais. ,D exalta a natureza amigável de cães e de gatos. ,E promove a campanha de adoção de animais. ,A,"{'A': 0.9999006836803199, 'B': 6.013915245487783e-05, 'D': 2.318570870090633e-05, 'C': 1.450924575637722e-05, 'E': 1.482212767810692e-06}"
QUESTÃO 19,"É ruivo? Tem olhos azuis? É homem ou mulher? Usa chapéu? Quem jogou Cara a Cara na infância sabe de cor o roteiro de perguntas para adivinhar quem é o personagem misterioso do seu oponente. Agora, o jogo está prestes a ganhar uma nova versão. A designer polonesa Zuzia Kozerska-Girard está desenvolvendo uma variação do Guess Who? (nome  do Cara a Cara em inglês), em que as personalidades do tabuleiro são, na verdade, mulheres notáveis da história e da atualidade, como a artista Frida Kahlo, a ativista Malala Yousafzai, a astronauta Valentina Tereshkova e a aviadora Amelia Earhart. O Who’s She? (“Quem é ela?”, em português) traz, no total, vinte e oito mulheres que representam diversas profissões, nacionalidades e idades. A ideia é que, em vez de perguntar sobre a aparência das personagens, as questões sejam direcionadas aos feitos delas: ganhou algum Nobel, fez alguma descoberta? Para cada personagem há um cartão com fatos divertidos e interessantes sobre sua vida. Uma campanha entrou no ar com o objetivo de arrecadar dinheiro para desenvolver o Who’s She?. A meta inicial era reunir dezessete mil dólares. Oito dias antes de a campanha acabar, o projeto já angariou quase trezentos e cinquenta mil dólares. A chegada do jogo à casa do comprador varia de acordo com a quantia doada — quanto mais você doou, mais rápido vai poder jogar. Ao divulgar a adaptação do jogo para questões relativas a ações e habilidades de mulheres notáveis, o texto busca ",A contribuir para a formação cidadã dos jogadores. ,B refutar modelos estereotipados de beleza e elegância. ,C estimular a competitividade entre potenciais compradores. ,D exemplificar estratégias de arrecadação financeira pela internet. ,E desenvolver conhecimentos lúdicos específicos dos tempos atuais. ,A,"{'A': 0.9999466313729714, 'B': 3.480749665728929e-05, 'E': 1.670081941135335e-05, 'D': 1.6027289734713276e-06, 'C': 2.575819865379543e-07}"
QUESTÃO 20,"Descrição da imagem: Peça publicitária que apresenta duas imagens, uma ao lado da outra. A da esquerda é a fotografia de uma mulher que está cobrindo o rosto com as mãos. Sobre suas mãos está escrito: “Arrependimento”. A imagem da direita é uma via de asfalto onde está escrito: “Causar um acidente é algo que você leva para o resto da vida. Não beba se for dirigir.”. Abaixo, o logotipo do Detran do Espírito Santo. Para convencer o público-alvo sobre a necessidade de um trânsito mais seguro, essa peça publicitária apela para o(a) ",A sentimento de culpa provocado no condutor causador de acidentes. ,B dano psicológico causado nas vítimas da violência nas estradas. ,C importância do monitoramento do trânsito pelas autoridades competentes. ,D necessidade de punição a motoristas alcoolizados envolvidos em acidentes. ,E sofrimento decorrente da perda de entes queridos em acidentes automobilísticos. ,A,"{'A': 0.9997996318089305, 'B': 3.988917825847407e-07, 'D': 9.235605326613455e-09, 'C': 9.99800318407662e-05, 'E': 9.99800318407662e-05}"
QUESTÃO 21,"Urgência emocional Martha Medeiros Se tudo é para ontem, se a vida engata uma primeira e sai em disparada, se não há mais tempo para paradas estratégicas, caímos fatalmente no vício de querer que os amores sejam igualmente resolvidos num átimo de segundo. Temos pressa para ouvir “eu te amo”. Não vemos a hora de que fiquem estabelecidas as regras de convívio: somos namorados, ficantes, casados, amantes? Urgência emocional. Uma cilada. Associamos diversas palavras ao AMOR: paixão, romance, sexo, adrenalina, palpitação. Esquecemos, no entanto, da palavra que viabiliza esse sentimento: “paciência”. Amor sem paciência não vinga. Amor não pode ser mastigado e engolido com emergência, com fome desesperada. É uma refeição que pode durar uma vida. Nesse texto de opinião, as marcas linguísticas revelam uma situação distensa e de pouca formalidade, o que se evidencia pelo(a) ","A impessoalização ao longo do texto, como em: “se não há mais tempo”. ","B construção de uma atmosfera de urgência, em palavras como: “pressa”. ","C repetição de uma determinada estrutura sintática, como em: “Se tudo é para ontem”. ","D ênfase no emprego da hipérbole, como em: “uma refeição que pode durar uma vida”. ","E emprego de metáforas, como em: “a vida engata uma primeira e sai em disparada”. ",B,"{'B': 0.8582763363980974, 'E': 0.11984223482826463, 'D': 0.02115341097766453, 'C': 0.0003696960742016946, 'A': 0.000358321721771715}"
QUESTÃO 22,"O complexo de falar difícil O que importa realmente é que o(a) detentor(a) do notável saber jurídico saiba quando e como deve fazer uso desse português versão 2.0, até porque não tem necessidade de alguém entrar numa padaria de manhã com aquela cara de sono falando o seguinte: “Por obséquio, Vossa Senhoria teria a hipotética possibilidade de estabelecer com minha pessoa uma relação de compra e venda, mediante as imposições dos códigos Civil e do Consumidor, para que seja possível a obtenção de 10 pãezinhos em temperatura estável para que a relação pecuniária no valor de 5 reais seja plenamente legítima e capaz de saciar minha fome matinal?”. O problema é que temos uma cultura de valorizar quem demonstra ser inteligente ao invés de valorizar quem é. Pela nossa lógica, todo mundo que fala difícil tende a ser mais inteligente do que quem valoriza o simples, e  99,9 por cento das pessoas que estivessem na padaria iriam ficar boquiabertas se alguém fizesse uso das palavras que eu disse acima em plenas 7 da manhã em vez de dizer: “Bom dia! O senhor poderia me vender cinco reais de pão francês?”. Agora entramos na parte interessante: o que realmente é falar difícil? Simplesmente fazer uso de palavras que a maioria não faz ideia do que seja é um ato de falar difícil? Eu penso que não, mas é assim que muita gente age. Falar difícil é fazer uso do simples, mas com coerência e coesão, deixar tudo amarradinho gramaticalmente falando. Falar difícil pode fazer alguém parecer inteligente, mas não por muito tempo. É claro que em alguns momentos não temos como fugir do português rebuscado, do juridiquês propriamente dito, como no caso de documentos jurídicos, entre outros. Nesse artigo de opinião, ao fazer uso de uma fala rebuscada no exemplo da compra do pão, o autor evidencia a importância de(a) ",A se ter um notável saber jurídico. ,B valorização da inteligência do falante. ,C falar difícil para demonstrar inteligência. ,D coesão e da coerência em documentos jurídicos. ,E adequação da linguagem à situação de comunicação. ,E,"{'E': 0.9998992705330654, 'A': 4.4504042932018617e-07, 'B': 1.5868405191350957e-07, 'D': 1.3572966232242886e-07, 'C': 9.999001279111831e-05}"
QUESTÃO 23,"Ciente de que, no campo da criação, as inovações tecnológicas abrem amplo leque de possibilidades — ao permitir, e mesmo estimular, que o artista explore a fundo, em seu processo criativo, questões como a aleatoriedade, o acaso, a não linearidade e a hipermídia —, Leo Cunha comenta que, no que tange ao campo da divulgação, as alternativas são ainda mais evidentes: “Afinal, é imensa a capacidade de reprodução, multiplicação e compartilhamento das obras artísticas/culturais. Ao mesmo tempo, ganham dimensão os dilemas envolvidos com a questão da autoria, dos direitos autorais, da reprodução e intervenção não autorizadas, entre outras questões”. Já segundo a professora Yacy-Ara Froner, o uso de ferramentas tecnológicas não pode ser visto como um fim em si mesmo. Isso porque computadores, samplers, programas de imersão, internet e intranet, vídeo, televisão, rádio, GPD etc. são apenas suportes com os quais os artistas exercem sua imaginação. Segundo os autores citados no texto, a expansão de possibilidades no campo das manifestações artísticas promovida pela internet pode pôr em risco o(a) ",A sucesso dos artistas. ,B valorização dos suportes. ,C proteção da produção estética. ,D modo de distribuição de obras. ,E compartilhamento das obras artísticas. ,C,"{'C': 0.7246703651196409, 'D': 0.2750538626476551, 'E': 0.00012416318663314362, 'B': 0.00011129916117530888, 'A': 4.030988489552534e-05}"
QUESTÃO 24,"Não contem com o fim do livro Umberto Eco; Jean-Claude Carrière Ora, sempre que surge uma nova técnica, ela quer demonstrar que revogará as regras e coerções que presidiram o nascimento de todas as outras invenções do passado. Ela se pretende orgulhosa e única. Como se a nova técnica carreasse com ela, automaticamente, para seus novos usuários, uma propensão natural a fazer economia de qualquer aprendizagem. Como se ela se preparasse para varrer tudo que a precedeu, ao mesmo tempo transformando em analfabetos todos os que ousassem repeli-la. Fui testemunha dessa mudança ao longo de toda a minha vida. Ao passo que, na realidade, é o contrário que acontece. Cada nova técnica exige uma longa iniciação numa nova linguagem, ainda mais longa na medida em que nosso espírito é formatado pela utilização das linguagens que precederam o nascimento da  recém-chegada. O texto revela que, quando a sociedade promove o desenvolvimento de uma nova técnica, o que mais impacta seus usuários é a ",A dificuldade na apropriação da nova linguagem. ,B valorização da utilização da nova tecnologia. ,C recorrência das mudanças tecnológicas. ,D suplantação imediata dos conhecimentos prévios. ,E rapidez no aprendizado do manuseio das novas invenções. ,A,"{'A': 0.9997999318622672, 'B': 9.623720972347476e-08, 'D': 1.1858751027239907e-08, 'C': 9.998002088597912e-05, 'E': 9.998002088597912e-05}"
QUESTÃO 25,"Papos (fragmento) Luis Fernando Verissimo — Me disseram... — Disseram-me. — Hein? — O correto é “disseram-me”. Não “me disseram”. — Eu falo como quero. E te digo mais... Ou é “digo-te”? — O quê? — Digo-te que você... — O “te” e o “você” não combinam. — Lhe digo? — Também não. O que você ia me dizer?  — Que você está sendo grosseiro, pedante e chato.  — Dispenso as suas correções. Vê se esquece-me. Falo como bem entender. Mais uma correção e eu... — O quê? — O mato. — Que mato?  — Mato-o. Mato-lhe. Mato você. Matar-lhe-ei-te. Ouviu bem? Pois esqueça-o e para-te. Pronome no lugar certo é elitismo! — Se você prefere falar errado...  — Falo como todo mundo fala. O importante é me entenderem. Ou entenderem-me? Nesse texto, o uso da norma-padrão defendido por um dos personagens torna-se inadequado em razão do(a) ",A falta de compreensão causada pelo choque entre gerações. ,B contexto de comunicação em que a conversa se dá. ,C grau de polidez distinto entre os interlocutores. ,D diferença de escolaridade entre os falantes. ,E nível social dos participantes da situação. ,B,"{'B': 0.9999991491607, 'A': 5.626400124598803e-07, 'D': 1.5623948871742417e-07, 'E': 7.265803728751243e-08, 'C': 5.930176171895786e-08}"
QUESTÃO 26,"“Vida perfeita” em redes sociais pode afetar a saúde mental Nas várias redes sociais que povoam a internet, os chamados digital influencers estão sempre felizes e pregam a felicidade como um estilo de vida. Essas pessoas espalham conteúdo para milhares de seguidores, ditando tendência e mostrando um estilo de vida sonhado por muitos, como o corpo esbelto, viagens incríveis, casas deslumbrantes, carros novos e alegria em tempo integral, algo bem improvável de ocorrer o tempo todo, aponta Carla Furtado, mestre em psicologia e fundadora do Instituto Feliciência. A problemática pode surgir com a busca incessante por essa felicidade, que gera efeitos colaterais em quem consome diariamente a “vida perfeita” de outros. Daí vem o conceito de positividade tóxica: a expressão tem sido usada para abordar uma espécie de pressão pela adoção de um discurso positivo, aliada a uma vida editada para as redes sociais. Para manter a saúde mental e evitar ser atingido pela positividade tóxica, o uso racional das redes sociais é o mais indicado, aconselha a médica psiquiatra Renata Nayara Figueiredo, presidente da Associação Psiquiátrica de Brasília (APBr). Associada ao ideário de uma “vida perfeita”, a positividade tóxica mencionada no texto é um fenômeno social recente, que se constitui com base em ",A representações estereotipadas e superficiais de felicidade. ,B ressignificações contemporâneas do conceito de alegria. ,C estilos de vida inacessíveis para a sociedade brasileira. ,D atitudes contraditórias de influenciadores digitais. ,E padrões idealizados e nocivos de beleza física. ,A,"{'A': 0.9997964432093099, 'E': 2.683658912564639e-06, 'B': 9.130689593615446e-07, 'D': 9.998003140901996e-05, 'C': 9.998003140901996e-05}"
QUESTÃO 27,"TEXTO 1 Descrição da imagem: Obra intitulada Laocoonte, de El Greco, em óleo sobre tela, que apresenta, em primeiro plano, o desenho de cinco figuras humanas nuas posicionadas em uma área rochosa, que tem ao fundo uma cidade. Na parte central da imagem, dois homens estão deitados com as costas no chão rochoso, cabeças próximas, em sentidos opostos. Um tem cabelos brancos e barba branca e está segurando com a mão direita o pescoço de uma serpente, e com a mão esquerda, a parte central do corpo do animal. A serpente está com a boca bem aberta próxima à cabeça do homem tentando picá-lo. À direita da imagem, estão duas figuras humanas em pé. Uma está de costas, e a outra está com o corpo voltado para frente e o rosto para o lado. Do lado esquerdo da tela, há a figura de um homem, de corpo esguio, genitália à mostra. Ele tem o braço direito dobrado para cima e para trás, o braço esquerdo está esticado na lateral do corpo, segurando uma serpente pelo meio e pela cauda, a qual parece picá-lo à altura do abdômen. TEXTO 2 Essa impressionante obra apresenta o sacerdote Laocoonte sendo punido pelos deuses por tentar alertar os troianos da ameaça do Cavalo de Troia, que escondia um grupo de soldados gregos. Enviadas pelos deuses, serpentes marinhas são vistas matando Laocoonte e seus dois filhos como forma de punição. Produzida no início do século 17, a obra maneirista distingue-se pela ",A representação da nudez masculina. ,B distorção ao representar a figura humana. ,C evocação de um fato da cultura clássica grega. ,D presença do tema da morte como punição da família. ,E utilização da perspectiva para integrar os diferentes planos. ,C,"{'C': 0.9907977475833585, 'D': 0.008572078937082698, 'B': 0.0005394988026162968, 'A': 8.273485408203583e-05, 'E': 7.939822860611124e-06}"
QUESTÃO 28,"TEXTO 1 Descrição da imagem: Obra, sem título, de Donald Judd, de 1969, composta de dez blocos retangulares, que parecem estar fixados numa parede, um acima do outro, numa distância simétrica entre si. O formato dos blocos remete a caixas. Sem título TEXTO 2 Embora não fosse um grupo ou um movimento organizado, o Minimalismo foi um dos muitos rótulos (incluindo estruturas primárias, objetos unitários, arte ABC e Cool Art) aplicados pelos críticos para descrever estruturas aparentemente simples que alguns artistas estavam criando. Quando a arte minimalista começou a surgir, muitos críticos e um público opinativo julgaram-na fria, anônima e imperdoável. Os materiais industriais pré-fabricados frequentemente usados não pareciam “arte”. De acordo com os textos 1 e 2, compreende-se que a obra minimalista é uma ",A representação da simplicidade pelo artista. ,B exploração da técnica da escultura cubista. ,C valorização do cotidiano por meio da geometria. ,D utilização da complexidade dos elementos formais. ,E combinação de formas sintéticas no espaço utilizado. ,A,"{'A': 0.999897405857455, 'B': 1.118829355428435e-06, 'C': 1.0187057207337352e-06, 'D': 4.6639746477950113e-07, 'E': 9.999021000384162e-05}"
QUESTÃO 29,"Nu de botas Antônio Prata Vanda vinha do interior de Minas Gerais e de dentro de um livro de Charles Dickens. Sem dinheiro para criá-la, sua mãe a dera, com seus sete anos, a uma conhecida. Ao recebê-la, a mulher perguntou o que a garotinha gostava de comer. Anotou tudo num papel. Mal a mãe virou as costas, no entanto, a fulana amassou a lista e, como uma vilã de folhetim, decretou: “A partir de hoje, você não vai mais nem sentir o cheiro dessas comidas!”. Vanda trabalhou lá até os quinze anos, quando recebeu a carta de uma prima com uma nota de cem cruzeiros, saiu de casa com a roupa do corpo e fugiu num ônibus para São Paulo. Todas as vezes que eu e minha irmã a importunávamos com nossas demandas de criança mimada, ela nos contava histórias da infância de gata-borralheira, fazia-nos apertar seu nariz quebrado por uma das filhas da “patroa” com um rolo de amassar pão e nos expulsava da cozinha: “Sai pra lá, peste, e me deixa acabar essa janta”. Pela ótica do narrador, a trajetória da empregada de sua casa assume um efeito expressivo decorrente da ",A citação a referências literárias tradicionais. ,B alusão à inocência das crianças da época. ,C estratégia de questionar a bondade humana. ,D descrição detalhada das pessoas do interior. ,E representação anedótica de atos de violência. ,A,"{'A': 0.9988804003095435, 'E': 0.0010161386802715166, 'C': 7.714140105823831e-05, 'B': 2.1758731280283115e-05, 'D': 4.560877846308127e-06}"
QUESTÃO 30,"TEXTO 1 Descrição da imagem: Instalação intitulada In absentia, de Regina Silveira, de 1983, que apresenta a projeção da imagem de uma roda de bicicleta montada sobre um banquinho. Há no chão uma caixa branca, a partir da qual começa a projeção. TEXTO 2 O termo ready-made foi criado por Marcel Duchamp (1887-1968) para designar um tipo de objeto, por ele inventado, que consiste em um ou mais artigos de uso cotidiano, produzidos em massa, selecionados sem critérios estéticos e expostos como obras de arte em espaços especializados (museus e galerias). Seu primeiro ready-made, de 1912, é uma roda de bicicleta montada sobre um banquinho (Roda de bicicleta). Ao transformar qualquer objeto em obra de arte, o artista realiza uma crítica radical ao sistema da arte. A instalação In absentia propõe um diálogo com o ready-made Roda de bicicleta, demonstrando que ",A as formas de criticar obras do passado se repetem. ,B a recorrência de temas marca a arte do final do  século 20. ,C as criações desmistificam os valores estéticos estabelecidos. ,D o distanciamento temporal permite a transformação dos referenciais estéticos. ,E o objeto ausente sugere a degradação da forma superando o modelo artístico. ,C,"{'C': 0.6581568435179638, 'D': 0.2070982497076808, 'E': 0.12561143802053135, 'A': 0.006868483344917855, 'B': 0.002264985408906119}"
QUESTÃO 31,"O Recife fervilhava no começo da década de 1990, e os artistas trabalhavam para resgatar o prestígio da cultura pernambucana. Era preciso se inspirar, literalmente, nas raízes sobre as quais a cidade se construiu. Foi aí que, em 1992, com a publicação de um manifesto escrito pelo músico e jornalista Fred Zero Quatro, da banda Mundo Livre S/A, nasceu o manguebeat. O nome vem de “mangue”, vegetação típica da região, e “beat”, para representar as batidas e as influências musicais que o movimento abraçaria a partir dali. Era a hora e a vez de os caranguejos — aos quais os músicos recifenses gostavam de se comparar — mostrarem as caras:  o maracatu e suas alfaias se misturaram com as batidas do hip-hop, as guitarras do rock, elementos eletrônicos e o sotaque recifense de Chico Science. A busca pelo novo rendeu uma perspectiva diferente do Brasil ao olhar para o Recife. A cidade deixou de ser o lugar apenas do frevo e do carnaval, transformando-se na ebulição musical que continua a acontecer mesmo após os 25 anos do lançamento do primeiro disco da Nação Zumbi, Da lama ao caos. Chico Science foi fundamental para a renovação da música pernambucana, fato que se deu pela ",A utilização de aparelhos musicais eletrônicos em lugar dos instrumentos tradicionais. ,B ocupação de espaços da natureza local para a produção de eventos musicais memoráveis. ,"C substituição de antigas práticas musicais, como o frevo, por melodias e harmonias inovadoras. ",D recuperação de composições tradicionais folclóricas e sua apresentação em grandes festivais. ,"E integração de referenciais culturais de diferentes origens, criando uma nova combinação estética. ",E,"{'E': 0.9999984206483018, 'D': 1.0348523110229139e-06, 'A': 2.53601465378754e-07, 'C': 2.1355384469619035e-07, 'B': 7.734407706039424e-08}"
QUESTÃO 32,"A escrava Maria Firmina dos Reis — Admira-me —, disse uma senhora de sentimentos sinceramente abolicionistas —; faz-me até pasmar como se possa sentir, e expressar sentimentos escravocratas, no presente século, no século dezenove! A moral religiosa e a moral cívica aí se erguem, e falam bem alto esmagando a hidra que envenena a família no mais sagrado santuário seu, e desmoraliza, e avilta a nação inteira! Levantai os olhos ao Gólgota, ou percorrei-os em torno da sociedade, e dizei-me: — Para que se deu em sacrifício o Homem Deus, que ali exalou seu derradeiro alento? Ah! Então não é verdade que seu sangue era o resgate do homem! É então uma mentira abominável ter esse sangue comprado a liberdade!? E depois, olhai a sociedade... Não vedes o abutre que a corrói constantemente!… Não sentis a desmoralização que a enerva, o cancro que a destrói? Por qualquer modo que encaremos a escravidão, ela é, e será sempre um grande mal. Dela a decadência do comércio; porque o comércio e a lavoura caminham de mãos dadas, e o escravo não pode fazer florescer a lavoura; porque o seu trabalho é forçado. Inscrito na estética romântica da literatura brasileira, o conto descortina aspectos da realidade nacional no século 19 ao ",A revelar a imposição de crenças religiosas a pessoas escravizadas. ,B apontar a hipocrisia do discurso conservador na defesa da escravidão. ,C sugerir práticas de violência física e moral em nome do progresso material. ,D relacionar o declínio da produção agrícola e comercial a questões raciais. ,E ironizar o comportamento dos proprietários de terra na exploração do trabalho. ,D,"{'D': 0.8595465139259421, 'B': 0.14031711114385392, 'E': 0.00010607650931758407, 'C': 2.330191671803215e-05, 'A': 6.996504168174028e-06}"
QUESTÃO 33,"TEXTO 1 Projeto Mural Eletrônico desenvolvido no INT, semelhante a um totem, promete tornar o acesso à informação disponível para todos A inclusão de pessoas com deficiência se constituiu um dos principais desafios e preocupações para a sociedade ao longo das últimas décadas. E o uso da tecnologia tem se revelado um aliado fundamental em muitas iniciativas voltadas para essa área. Exemplo disso é uma das recentes criações do Instituto Nacional de Tecnologia (INT) — unidade de pesquisa do Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC). Ali, com o objetivo de que as diferenças entre pessoas não sejam sinônimo de obstáculos no acesso à informação ou na comunicação, engenheiros e tecnólogos vêm trabalhando no desenvolvimento do projeto Mural Eletrônico. O Mural Eletrônico nasceu da necessidade de promover a inclusão nas escolas. Com interface multimídia e interativa, todos têm a possibilidade de acessar o Mural Eletrônico. Por meio do equipamento, podem ser disponibilizados vídeos com Libras, leitura sonora de textos, que também estarão acessíveis em uma plataforma de braille dinâmico, ao lado do teclado. TEXTO 2 Projeto Surdonews, desenvolvido na UFRJ, garante acesso de surdos à informação e contribui para sua “inclusão científica” Para não permitir que a falta de informação seja um fator para o isolamento e a inacessibilidade da comunidade surda, a jornalista e pesquisadora Roberta Savedra Schiaffino criou o projeto “Surdonews: montando os quebra-cabeças das notícias para o surdo”. Trata-se de uma página no Facebook, com notícias constantemente atualizadas e apresentadas por surdos em Libras, e veiculadas por meio de vídeos. A ideia de criar o projeto surgiu quando Roberta, ela própria surda profunda, ainda cursava o mestrado. Para isso, ela procurou traçar um diagnóstico do conhecimento informal entre as pessoas com surdez. Ela entrevistou cinquenta alunos surdos do ensino fundamental e viu que eles tinham muita dificuldade de ler, além de não captar a notícia falada. “Isso é muito grave, pois 90 por cento do saber de um indivíduo vem do conhecimento informal, adquirido em feiras científicas, conversas, cinema, teatro, incluindo a mídia, por todas as suas possibilidades disseminadoras”, explica a pesquisadora. “Prezamos pelo conteúdo científico em nossas pautas. Contudo, independentemente disso, nosso principal trabalho é, além de informar e atualizar, fazer com que os textos não sejam empobrecidos no processo de ‘tradução’ e, sim, acessíveis”. Considerando-se o tema tecnologias e acessibilidade, os textos 1 e 2 aproximam-se porque apresentam projetos que ",A garantem a igualdade entre as pessoas. ,B foram criados por uma pesquisadora surda. ,C tiveram origem em um curso de pós-graduação. ,D estão circunscritos ao espaço institucional da escola. ,E têm como objetivo a disseminação do conhecimento. ,E,"{'E': 0.9998952546564739, 'A': 4.356442953785049e-06, 'D': 3.011282239050724e-07, 'C': 9.776202088201917e-08, 'B': 9.999001032747512e-05}"
QUESTÃO 34,"Fronteira Cornélio Penna Mas seu olhar verde, inconfundível, impressionante, iluminava com sua luz misteriosa as sombrias arcadas superciliares, que pareciam queimadas por ela, dizia logo a sua origem cruzada e decantada através das misérias e dos orgulhos de homens de aventura, contadores de histórias fantásticas, e de mulheres caladas e sofredoras, que acompanhavam os maridos e amantes através das matas intermináveis, expostas às febres, às feras, às cobras do sertão indecifrável, ameaçador e sem fim, que elas percorriam com a ambição única de um “pouso” onde pudessem viver, por alguns dias, a vida ilusória de família e de lar, sempre no encalço dos homens, enfebrados pela procura do ouro e do diamante. Ao descrever os olhos de Maria Santa, o narrador estabelece correlações que refletem a ",A caracterização da personagem como mestiça. ,B construção do enredo de conquistas da família. ,C relação conflituosa das mulheres e seus maridos. ,D nostalgia do desejo de viver como os antepassados. ,E marca de antigos sofrimentos no fluxo de consciência. ,A,"{'A': 0.9991864757375659, 'E': 0.0005975402800310885, 'B': 0.00020650447767277475, 'D': 7.290499745103681e-06, 'C': 2.1890049849511795e-06}"
QUESTÃO 35,"Esaú e Jacó Machado de Assis Bárbara entrou, enquanto o pai pegou da viola e passou ao patamar de pedra, à porta da esquerda. Era uma criaturinha leve e breve, saia bordada, chinelinha no pé. Não se lhe podia negar um corpo airoso. Os cabelos, apanhados no alto da cabeça por um pedaço de fita enxovalhada, faziam-lhe um solidéu natural, cuja borla era suprida por um raminho de arruda. Já vai nisto um pouco de sacerdotisa. O mistério estava nos olhos. Estes eram opacos, não sempre nem tanto que não fossem também lúcidos e agudos, e neste último estado eram igualmente compridos; tão compridos e tão agudos que entravam pela gente abaixo, revolviam o coração e tornavam cá fora, prontos para nova entrada e outro revolvimento. Não te minto dizendo que as duas sentiram tal ou qual fascinação. Bárbara interrogou-as; Natividade disse ao que vinha e entregou-lhe os retratos dos filhos e os cabelos cortados, por lhe haverem dito que bastava. — Basta, confirmou Bárbara. Os meninos são seus filhos? — São. No relato da visita de duas mulheres ricas a uma vidente no Morro do Castelo, a ironia — um dos traços mais representativos da narrativa machadiana — consiste no ",A modo de vestir dos moradores do morro carioca. ,B senso prático em relação às oportunidades de renda. ,C mistério que cerca as clientes de práticas de vidência. ,D misto de singeleza e astúcia dos gestos da personagem. ,E interesse do narrador pelas figuras femininas ambíguas. ,D,"{'D': 0.9997978008617282, 'E': 0.00010888679950566278, 'B': 8.480112472114922e-05, 'C': 7.40983969841041e-06, 'A': 1.1013743465833112e-06}"
QUESTÃO 36,"Dona Guidinha do Poço Manuel de Oliveira Paiva A senhora manifestava-se por atos, por gestos, e sobretudo por um certo silêncio, que amargava, que esfolava. Porém desmoralizar escancaradamente o marido, não era com ela. [...] As negras receberam ordem para meter no serviço a gente do tal compadre Silveira: as cunhadas, ao fuso; os cunhados, ao campo, tratar do gado com os vaqueiros; a mulher e as irmãs, que se ocupassem da ninhada. Margarida não tivera filhos, e como os desejasse com a força de suas vontades, tratava sempre bem aos pequenitos e às mães que os estavam criando. Não era isso uma sentimentalidade cristã, uma ternura, era o egoísta e cru instinto da maternidade, obrando por mera simpatia carnal. Quanto ao pai do lote (referia-se ao Antônio), esse que fosse ajudar ao vaqueiro das bestas. Ordens dadas, o Quinquim referendava. Cada um moralizava o outro, para moralizar-se. No trecho do romance naturalista, a forma como o narrador julga comportamentos e emoções das personagens femininas revela influência do pensamento ","A capitalista, marcado pela distribuição funcional do trabalho. ","B liberal, buscando a igualdade entre pessoas escravizadas e livres. ","C científico, considerando o ser humano como um fenômeno biológico. ","D religioso, fundamentado na fé e na aceitação dos dogmas do cristianismo. ","E afetivo, manifesto na determinação de acolher familiares e no respeito mútuo. ",C,"{'C': 0.9998773626651491, 'A': 2.247183230239687e-05, 'B': 1.42240303608354e-07, 'D': 3.3261245027519284e-08, 'E': 9.999000099990002e-05}"
