question,body,A,B,C,D,E,gpt-4_answer,gpt-4_probs
QUESTÃO 117,"O eixo de rotação da Terra apresenta uma inclinação em relação ao plano de sua órbita em torno do Sol, interferindo na duração do dia e da noite ao longo do ano. Descrição da imagem: Representação esquemática do globo terrestre em 21 de dezembro. O globo é representado por um círculo dividido ao meio por uma linha vertical, com a incidência direta de raios solares ao meio-dia, representados por setas horizontais da esquerda para a direita. A metade esquerda representa a parte iluminada (dia) e a metade direita representa a parte sombreada (noite). O eixo de rotação da Terra está inclinado em relação à vertical e é representado por uma reta com a metade superior na parte sombreada e a metade inferior na parte iluminada. Perpendicularmente ao eixo de rotação estão indicados, de cima para baixo, o Polo Norte, com o Círculo Polar Ártico, o Trópico de Câncer, a Linha do Equador, o Trópico de Capricórnio e o Polo Sul, com o Círculo Polar Antártico. Polo Norte de Câncer Equador Capricórnio Círculo Polar AntárticoPolo Sul Círculo Polar Uma pessoa instala em sua residência uma placa fotovoltaica, que transforma energia solar em elétrica. Ela monitora a energia total produzida por essa placa em 4 dias do ano, ensolarados e sem nuvens, e lança os resultados no gráfico. Descrição da imagem: Gráfico de barras verticais. No eixo horizontal, estão quatro dias do ano e, no eixo vertical, está a energia total produzida pela placa fotovoltaica. Da esquerda para direita, estão posicionadas quatro barras, correspondentes aos dias 10 de janeiro; 10 de abril; 10 de julho e 10 de outubro. A barra correspondente ao dia 10 de janeiro é a maior de todas. A barra correspondente ao dia 10 de julho é a menor de todas. As barras correspondentes aos dias 10 de abril e 10 de outubro têm alturas semelhantes, sendo a de 10 de abril um pouco maior que a do dia 10 de outubro. Próximo a que região se situa a residência onde as placas foram instaladas?",A Trópico de Capricórnio.,B Trópico de Câncer.,C Polo Norte.,D Polo Sul.,E Linha do Equador.,A,"{'A': 0.9998551138999012, 'B': 0.0001273088213992174, 'D': 1.0951657331748695e-05, 'E': 5.506839137520221e-06, 'C': 1.1187822301976497e-06}"
QUESTÃO 118,"A biomassa celulósica pode ser utilizada para a produção de etanol de segunda geração. Entretanto, é necessário que os polissacarídeos sejam convertidos em mono e dissacarídeos, processo que pode ser conduzido em meio ácido, conforme mostra o esquema: Descrição do esquema: Estrutura química de um polissacarídeo, com os grupos funcionais C ligação simples OH e C ligação simples O, ligação simples C, com foco nas ligações entre hidrogênio e oxigênio. Esse polissacarídeo é convertido, em três etapas, em mono e dissacarídeos, envolvendo a participação do íon H, de carga positiva, como reagente na primeira etapa e como produto na última etapa.  + Nessa conversão de polissacarídeos, a função do íon H de carga positiva é",A dissolver os reagentes.,B deslocar o equilíbrio químico.,C aumentar a velocidade da reação.,D mudar a constante de equilíbrio da reação.,E formar ligações de hidrogênio com o polissacarídeo.,E,"{'E': 0.7224399586007235, 'C': 0.2742072793175983, 'B': 0.0030461674120832857, 'D': 0.00022413866336950893, 'A': 8.245600622528897e-05}"
QUESTÃO 119,"O ácido tartárico é o principal ácido do vinho e está diretamente relacionado com sua qualidade. Na avaliação de um vinho branco em produção, uma analista neutralizou uma alíquota de 25,0 mililitros do vinho com NaOH a 0,10 mol por litro, consumindo um volume igual a 8,0 mililitros dessa base. A reação para esse processo de titulação é representada pela equação química: Descrição da equação química: Um mol de ácido tartárico, cuja massa molar é igual a 150 gramas por mol, reage com 2 mols de NaOH formando um sal orgânico e água.  A concentração de ácido tartárico no vinho analisado é mais próxima de:","A 1,8 grama por litro","B 2,4 gramas por litro","C 3,6 gramas por litro","D 4,8 gramas por litro","E 9,6 gramas por litro",B,"{'B': 0.47184487836695327, 'A': 0.36747316076041503, 'C': 0.10528283380351754, 'D': 0.05462001463793919, 'E': 0.0007791124311747635}"
QUESTÃO 120,"Diversas substâncias são empregadas com a intenção de incrementar o desempenho esportivo de atletas de alto nível. O chamado doping sanguíneo, por exemplo, pela utilização da eritropoietina, é proibido pelas principais federações de esportes no mundo. A eritropoietina é um hormônio produzido pelos rins e fígado e sua principal ação é regular o processo de eritropoiese. Seu uso administrado intravenosamente em quantidades superiores àquelas presentes naturalmente no organismo permite que o indivíduo aumente a sua capacidade de realização de exercícios físicos. Esse tipo de doping está diretamente relacionado ao aumento da",A frequência cardíaca.,B capacidade pulmonar.,C massa muscular do indivíduo.,D atividade anaeróbica da musculatura.,E taxa de transporte de oxigênio pelo sangue.,E,"{'E': 0.9998994726223337, 'A': 3.155809084106476e-07, 'D': 1.770248457420211e-07, 'B': 4.4758935203722925e-08, 'C': 9.999001297680254e-05}"
QUESTÃO 121,"Em um autódromo, os carros podem derrapar em uma curva e bater na parede de proteção. Para diminuir o impacto de uma batida, pode-se colocar na parede uma barreira de pneus, isso faz com que a colisão seja mais demorada e o carro retorne com velocidade reduzida. Outra opção é colocar uma barreira de blocos de um material que se deforma, tornando-a tão demorada quanto a colisão com os pneus, mas que não permite a volta do carro após a colisão. Comparando as duas situações, como ficam a força média exercida sobre o carro e a energia mecânica dissipada?","A A força é maior na colisão com a barreira de pneus, e a energia dissipada é maior na colisão com a barreira de blocos.","B A força é maior na colisão com a barreira de blocos, e a energia dissipada é maior na colisão com a barreira de pneus.","C A força é maior na colisão com a barreira de blocos, e a energia dissipada é a mesma nas duas situações.","D A força é maior na colisão com a barreira de pneus, e a energia dissipada é maior na colisão com a barreira de pneus.","E A força é maior na colisão com a barreira de blocos, e a energia dissipada é maior na colisão com a barreira de blocos.",E,"{'E': 0.9729720660201652, 'A': 0.025928825737196688, 'D': 0.0006909800081819254, 'C': 0.00023879630104323558, 'B': 0.00016933193341294055}"
QUESTÃO 122,"A penicilamina é um medicamento de uso oral utilizado no tratamento de várias doenças. Esse composto é excretado na urina, cujo pH se situa entre 5 e 7. A penicilamina, cuja fórmula estrutural plana está apresentada, possui três grupos funcionais que podem ser ionizados: • carboxila: ligação simples COOH, cujo p K a é igual a 1,8; • amino: ligação simples NH2, que pode ser convertido em amínio ( ligação simples NH3 de carga positiva , cujo p K a é igual a 7,9); • tiol: ligação simples SH, cujo p K a é igual a 10,5. Sabe-se que p K a é igual a menos logaritmo de K a. Descrição da estrutura química da penicilamina: No centro da estrutura representada, há 2 átomos de carbono com ligação simples entre si. Cada carbono faz três ligações simples com outros grupos. No primeiro carbono, estão ligados: um grupo SH, um grupo CH 3 e outro grupo CH3 . No segundo carbono, estão ligados: um grupo H, um grupo COOH e um grupo NH2. Qual estrutura derivada da penicilamina é predominantemente encontrada na urina?","A Descrição da estrutura química: Estrutura derivada da penicilamina com os grupos: S de carga negativa, COO de carga negativa e NH2.","B Descrição da estrutura química: Estrutura derivada da penicilamina com os grupos: S de carga negativa, COOH e NH2.","C Descrição da estrutura química: Estrutura derivada da penicilamina com os grupos: SH, COO de carga negativa e NH3 de carga positiva.","D Descrição da estrutura química: Estrutura derivada da penicilamina com os grupos: S de carga negativa, COOH e NH3 de carga positiva.","E Descrição da estrutura química: Estrutura derivada da penicilamina com os grupos: SH, COOH e NH3 de carga positiva.",C,"{'C': 0.820661345894574, 'D': 0.09207564197204682, 'A': 0.05761946442018424, 'B': 0.02942914278529031, 'E': 0.00021440492790457928}"
QUESTÃO 123,"Tribologia é o estudo da interação entre duas superfícies em contato, como desgaste e atrito, sendo de extrema importância na avaliação de diferentes produtos e de bens de consumo em geral. Para testar a conformidade de uma muleta, realiza-se um ensaio tribológico, pressionando-a verticalmente contra o piso com uma força vetor F , conforme ilustra a imagem, em que CM representa o centro de massa da muleta. Descrição da imagem: Ilustração de uma muleta como uma barra vertical apoiada sobre o chão. No centro da muleta, há a indicação do seu centro de massa (CM). Na extremidade superior da barra, há uma seta vertical para baixo com a indicação do vetor F. Mantendo-se a força vetor F paralela à muleta, varia-se lentamente o ângulo entre a muleta e a vertical, até o máximo ângulo imediatamente anterior ao de escorregamento, denominado ângulo crítico. Esse ângulo também pode ser calculado a partir da identificação dos pontos de aplicação, da direção e do sentido das forças peso (vetor P), normal (vetor N) e de atrito estático (vetor fe). O esquema que representa corretamente todas as forças que atuam sobre a muleta , apoiada no chão e inclinada para a direita, quando ela atinge o ângulo crítico é:","A Descrição do esquema: Na extremidade superior da barra, há uma seta vertical para baixo com a indicação do vetor F. No ponto onde a barra toca o chão, há três setas: uma vertical para cima, indicando o vetor N, uma horizontal para a direita, indicando o vetor fe, e uma vertical para baixo, indicando o vetor P.","B Descrição do esquema: Na extremidade superior da barra, há uma seta vertical para baixo com a indicação do vetor F. No centro de massa há duas setas, uma vertical para cima, indicando vetor N, e uma vertical para baixo indicando o vetor P. No ponto onde a barra toca o chão, há uma seta horizontal para a esquerda, indicando o vetor fe.","C Descrição do esquema: Na extremidade superior da barra, há uma seta com a mesma direção da barra e sentido da extremidade inferior, com a indicação do vetor F. No ponto onde a barra toca o chão, há três setas: uma vertical para cima, indicando o vetor N, uma seta vertical para baixo, indicando vetor P, e uma horizontal para a direita, indicando o vetor fe.","D Descrição do esquema: Na extremidade superior da barra, há uma seta com a mesma direção da barra e sentido da extremidade inferior, com a indicação do vetor F. No centro de massa, há duas setas: uma vertical para cima, indicando o vetor N, e uma vertical para baixo, indicando o vetor P. No ponto onde a barra toca o chão, há uma seta horizontal para a esquerda, indicando o vetor fe.","E Descrição do esquema: Na extremidade superior da barra, há uma seta com a mesma direção da barra e sentido da extremidade inferior, com a indicação do vetor F. No centro de massa, há uma seta vertical para baixo, indicando o vetor P. No ponto onde a barra toca o chão, há duas setas: uma vertical para cima, indicando o vetor N, e uma horizontal para a direita, indicando o vetor fe.",A,"{'A': 0.8379528068462689, 'D': 0.06878335293336749, 'C': 0.060701095913079844, 'B': 0.020977737418848376, 'E': 0.011585006888435495}"
QUESTÃO 124,"A extinção de espécies é uma ameaça real que afeta diversas regiões do país. A introdução de espécies exóticas pode ser considerada um fator maximizador desse processo. A jaqueira ( Artocarpus heterophyllus ) , por exemplo, é uma árvore originária da Índia e de regiões do Sudeste Asiático que foi introduzida ainda na era colonial e se aclimatou muito bem em praticamente todo o território nacional. Casos como o dessa árvore podem provocar a redução da biodiversidade, pois elas",A ocupam áreas de vegetação nativa e substituem parcialmente a flora original.,B estimulam a competição por seus frutos entre animais típicos da região e eliminam as espécies perdedoras.,C alteram os nichos e aumentam o número de possibilidades de relações entre os seres vivos daquele ambiente.,D apresentam alta taxa de reprodução e se mantêm com um número de indivíduos superior à capacidade suporte do ambiente.,E diminuem a relação de competição entre os polinizadores e facilitam a ação de dispersores de sementes de espécies nativas.,A,"{'A': 0.9998895041941539, 'D': 6.438368951181519e-06, 'B': 3.966564042945348e-06, 'C': 1.008647003793626e-07, 'E': 9.999000815156313e-05}"
QUESTÃO 125,"Em um dia de calor intenso, dois colegas estão a brincar com a água da mangueira. Um deles quer saber até que altura o jato de água alcança, a partir da saída de água, quando a mangueira está posicionada totalmente na direção vertical. O outro colega propõe então o seguinte experimento: eles posicionarem a saída de água da mangueira na direção horizontal, a 1 metro de altura em relação ao chão, e então medirem a distância horizontal entre a mangueira e o local onde a água atinge o chão. A medida dessa distância foi de 3 metros, e a partir disso eles calcularam o alcance vertical do jato de água. Considere a aceleração da gravidade de 10 metros por segundo ao quadrado . O resultado que eles obtiveram foi de","A 1,50 metro.","B 2,25 metros.","C 4,00 metros.","D 4,50 metros.","E 5,00 metros.",B,"{'B': 0.45574449467864175, 'D': 0.3334297951132839, 'A': 0.20223539359790826, 'C': 0.007139781929441307, 'E': 0.0014505346807247089}"
QUESTÃO 126,"O etanol é um combustível produzido a partir da fermentação da sacarose presente no caldo de cana- -de-açúcar. Um dos fatores que afeta a produção desse álcool é o grau de deterioração da sacarose, que se inicia após o corte, por causa da ação de microrganismos. Foram analisadas cinco amostras de diferentes tipos de cana-de- -açúcar e cada uma recebeu um código de identificação. No quadro são apresentados os dados de concentração de sacarose e de microrganismos presentes nessas amostras. Descrição do quadro: Apresenta as concentrações iniciais de sacarose, em grama por litro, e as concentrações de microrganismos, em miligrama por litro, para os cinco códigos das amostras de cana-de-açúcar: RB72, RB84, RB92, SP79 e SP80. Amostra RB72: Concentração inicial de sacarose igual a 13,0 e a de microrganismos igual a 0,7. Amostra RB84: Concentração inicial de sacarose igual a 18,0 e a de microrganismos igual a 0,8. Amostra RB92: Concentração inicial de sacarose igual a 16,0 e a de microrganismos igual a 0,6. Amostra SP79: Concentração inicial de sacarose igual a 14,0 e a de microrganismos igual a 0,5. Amostra SP80: Concentração inicial de sacarose igual a 17,0 e a de microrganismos igual a 0,9.  Pretende-se escolher o tipo de cana-de-açúcar que conterá o maior teor de sacarose 10 horas após o corte e que, consequentemente, produzirá a maior quantidade de etanol por fermentação. Considere que existe uma redução de aproximadamente 50 por cento da concentração de sacarose nesse tempo, para cada 1,0 miligrama por litro de microrganismos presentes na cana-de-açúcar. Qual tipo de cana-de-açúcar deve ser escolhido?",A RB72,B RB84,C RB92,D SP79,E SP80,D,"{'D': 0.9533766322037912, 'C': 0.031619062187747835, 'B': 0.014030876599274518, 'A': 0.0009548131353001618, 'E': 1.8615873886188795e-05}"
QUESTÃO 127,"Entre as diversas técnicas para diagnóstico da covid-19, destaca-se o teste genético. Considerando as diferentes variantes e cargas virais, um exemplo é a PCR, reação efetuada por uma enzima do tipo polimerase. Essa técnica permite identificar, com confiabilidade, o material genético do SARS-CoV-2, um vírus de RNA. Para comprovação da infecção por esse coronavírus, são coletadas amostras de secreções do indivíduo. Uma etapa que antecede a reação de PCR precisa ser realizada para permitir a amplificação do material genético do vírus. Essa etapa deve ser realizada para",A concentrar o RNA viral para otimizar a técnica.,B identificar nas amostras anticorpos anti-SARS-CoV-2.,"C proliferar o vírus em culturas, aumentando a carga viral.","D purificar ácidos nucleicos virais, facilitando a ação da enzima.",E obter moléculas de cDNA viral por meio da transcrição reversa.,E,"{'E': 0.9997042530694515, 'D': 0.0002913687551739984, 'A': 3.1372281800431406e-06, 'B': 6.784731757404535e-07, 'C': 5.624740185931639e-07}"
QUESTÃO 128,"Biofísica: fundamentos e aplicações O quadro mostra valores de corrente elétrica e seus efeitos sobre o corpo humano. Descrição do quadro: Apresenta as correntes elétricas e seus respectivos danos físicos. Até 10 miliampères: dor e contração muscular. De 10 miliampères até 20 miliampères: aumento das contrações musculares. De 20 miliampères até 100 miliampères: parada respiratória. De 100 miliampères até 3 ampères: fribrilação ventricular. Acima de 3 ampères: parada cardíaca e queimaduras.   A corrente elétrica que percorrerá o corpo de um indivíduo depende da tensão aplicada e da resistência elétrica média do corpo humano. Esse último fator está intimamente relacionado com a umidade da pele, que seca apresenta resistência elétrica da ordem de 500 quilo-ohms , mas, se molhada, pode chegar a apenas 1 quilo-ohm . Apesar de incomum, é possível sofrer um acidente utilizando baterias de 12 volts. Considere que um indivíduo com a pele molhada sofreu uma parada respiratória ao tocar simultaneamente nos pontos A e B de uma associação de duas dessas baterias. Qual associação de baterias foi responsável pelo acidente?","A Descrição da associação de baterias: O ponto A está ligado ao polo positivo da primeira bateria, o polo negativo da primeira bateria está ligado ao polo positivo da segunda bateria, e o polo negativo da segunda bateria está ligado ao ponto B.","B Descrição da associação de baterias: O ponto A está ligado ao polo positivo da primeira bateria, o polo negativo da primeira bateria está ligado ao polo negativo da segunda bateria, e o polo positivo da segunda bateria está ligado ao ponto B.","C Descrição da associação de baterias: O ponto A está ligado ao polo negativo da primeira bateria, que está ligado ao polo negativo da segunda bateria. O polo positivo da primeira bateria está ligado ao polo positivo da segunda bateria, que está ligado ao ponto B.","D Descrição da associação de baterias: O ponto A está ligado ao polo negativo da primeira bateria, o polo positivo da primeira bateria está ligado ao polo positivo da segunda bateria, e o polo negativo da segunda bateria está ligado ao ponto B.",E Descrição da associação de baterias: O ponto A está ligado ao polo positivo da primeira bateria e ao polo negativo da segunda bateria. O ponto B está ligado ao polo negativo da primeira bateria e ao polo positivo da segunda bateria.,A,"{'A': 0.999906762197393, 'B': 7.722070961557497e-05, 'D': 1.0952225529614479e-05, 'E': 2.7691562760701503e-06, 'C': 2.2957111856541577e-06}"
QUESTÃO 129,"Princípios de química: questionando a vida moderna e o meio ambiente O urânio é empregado como fonte de energia em reatores nucleares. Para tanto, o seu mineral deve ser refinado, convertido a hexafluoreto de urânio e posteriormente enriquecido, para aumentar de 0,7 por cento a 3 por cento a abundância de um isótopo específico — o urânio-235. Uma das formas de enriquecimento utiliza a pequena diferença de massa entre os hexafluoretos de urânio-235 e de urânio-238 para separá-los por efusão, precedida pela vaporização. Esses vapores devem efundir repetidamente milhares de vezes através de barreiras porosas formadas por telas com grande número de pequenos orifícios. No entanto, devido à complexidade e à grande quantidade de energia envolvida, cientistas e engenheiros continuam a pesquisar procedimentos alternativos de enriquecimento. Considerando a diferença de massa mencionada entre os dois isótopos, que tipo de procedimento alternativo ao da efusão pode ser empregado para tal finalidade?",A Peneiração.,B Centrifugação.,C Extração por solvente.,D Destilação fracionada.,E Separação magnética.,B,"{'B': 0.9998997414204106, 'A': 1.8264437791020254e-07, 'D': 5.658058878709431e-08, 'C': 2.9353622771417613e-08, 'E': 9.999000099989999e-05}"
QUESTÃO 130,"A Agência Nacional de Vigilância Sanitária (Anvisa) aprovou um produto de terapia gênica no país, indicado para o tratamento da distrofia hereditária da retina. O procedimento é recomendado para crianças acima de 12 meses e adultos com perda de visão causada pela mutação do gene humano RPE65. O produto, elaborado por engenharia genética, é composto por um vírus, no qual foi inserida uma cópia do gene normal humano RPE65 para corrigir o funcionamento das células da retina. O sucesso dessa terapia advém do fato de que o produto favorecerá a",A correção do código genético para a tradução da proteína.,B alteração do RNA ribossômico ligado à síntese da proteína.,C produção de mutações benéficas para a correção do problema.,D liberação imediata da proteína normal na região ocular humana.,E expressão do gene responsável pela produção da enzima normal.,A,"{'A': 0.994990500349693, 'E': 0.004904891457025925, 'B': 3.3761588984682235e-06, 'D': 1.2420194488744823e-06, 'C': 9.999001493357865e-05}"
QUESTÃO 131,"O físico Hans C. Oersted observou que um fio transportando corrente elétrica produz um campo magnético. A presença do campo magnético foi verificada ao aproximar uma bússola de um fio conduzindo corrente elétrica. A figura ilustra um fio percorrido por uma corrente elétrica i , constante e com sentido para cima. Os pontos",",",e,"estão num plano transversal e equidistantes do fio. Em cada ponto foi colocada uma bússola. Descrição da imagem: A figura ilustra um plano sobre o qual há uma circunferência pontilhada onde estão os pontos A, B e C, respectivamente nas posições de 10 horas, 7 horas e 4 horas. No centro da circunferência, há uma reta, perpendicular ao plano, que representa o fio com uma seta para cima que indica o sentido da corrente elétrica. Ao lado dessa figura, há uma bússola que indica o Norte (na cor preta), na parte superior, e o Sul (na cor branca), na parte inferior. S N Considerando apenas o campo magnético por causa da corrente i , as respectivas configurações das bússolas nos pontos A , B e C serão A A Descrição da imagem: Todas as bússolas indicam o polo sul apontado para o centro da circunferência. B B Descrição da imagem: Todas as bússolas indicam o polo norte apontado para o centro da circunferência. C C Descrição da imagem: A bússola do ponto A está com o polo norte apontado no sentido horário. A bússola do ponto B está com o polo norte apontado para o centro da circunferência. A bússola do ponto C está com o polo norte apontado no sentido anti-horário.","D Descrição da imagem: As bússolas dos pontos A, B e C estão com o polo norte apontado no sentido anti-horário.","E Descrição da imagem: As bússolas dos pontos A, B e C estão com o polo norte apontado no sentido horário.",C,"{'C': 0.6884890200344371, 'D': 0.30551515066064017, 'A': 0.0027271286261216932, 'E': 0.002058544686714527, 'B': 0.0012101559920866122}"
QUESTÃO 132,"Aplicações ambientais de persulfato: remediação de águas subterrâneas e solos contaminados A figura ilustra esquematicamente um processo de remediação de solos contaminados com tricloroeteno (TCE), um agente desengraxante. Em razão de vazamentos de tanques de estocagem ou de manejo inapropriado de resíduos industriais, ele se encontra presente em águas subterrâneas, nas quais forma uma fase líquida densa não aquosa (DNAPL) que se deposita no fundo do aquífero. Essa tecnologia de descontaminação emprega o íon persulfato (S 2O8 de carga dois menos), que é convertido no radical •SO4 de carga negativa por minerais que contêm Fe(3 ). O esquema representa de forma simplificada o mecanismo de ação química sobre o TCE e a formação dos produtos de degradação. Descrição das equações químicas da figura: O radical SO4 de carga negativa provoca as reações a seguir: o reagente TCE (ligação dupla entre os carbonos de número 1 e 2, dois C l ligados ao carbono de número 1 e um C l e um H ligados ao carbono de número 2) forma o ácido dicloroetanoico (ligação simples entre o grupo COOH e um carbono ligado a dois C l e um H), que forma o ácido etanodioico (dois grupos COOH ligados entre si). O ácido etanodioico forma o ácido metanoico (COOH ligado ao H), que forma, como produtos finais de degradação, H 2O, CO2 e C l de carga negativa.",A A A A Esse procedimento de remediação de águas subterrâneas baseia-se em reações de A A oxirredução.,B substituição.,C precipitação.,D desidratação.,E neutralização.,A,"{'A': 0.99989606475224, 'B': 3.844547879807921e-06, 'D': 5.570323857941625e-08, 'E': 4.475880962614833e-08, 'C': 9.99902378319406e-05}"
QUESTÃO 133,"De acordo com a Organização Mundial da Saúde, a filariose e a leishmaniose são consideradas doenças tropicais infecciosas e constituem uma preocupação para a saúde pública por ser alto o índice de mortalidade a elas associado. Uma medida profilática comum a essas duas doenças é o(a)",A incineração do lixo orgânico.,B construção de rede de esgoto.,C uso de vermífugo pela população.,D controle das populações dos vetores.,E consumo de carnes vermelhas bem cozidas.,D,"{'D': 0.9999999245929433, 'A': 3.2749600434689934e-08, 'B': 2.5907066298170893e-08, 'C': 1.096974206818913e-08, 'E': 5.78064785208686e-09}"
QUESTÃO 134,"Parque Solar Lapa entra em operação Em 2017, foi inaugurado, no estado da Bahia, o Parque Solar Lapa, composto por duas usinas (Bom Jesus da Lapa e Lapa) e capaz de gerar cerca de 300 gigawatts-hora de energia por ano. Considere que cada usina apresente potência igual a 75 megawatts , com o parque totalizando uma potência instalada de 150 megawatts . Considere ainda que a irradiância solar média é de 1 500 watts por metro quadrado e que a eficiência dos painéis é de 20 por cento. Nessas condições, a área total dos painéis solares que compõem o Parque Solar Lapa é mais próxima de:",A 1 000 000 de metros quadrados,B 500 000 metros quadrados,C 250 000 metros quadrados,D 100 000 metros quadrados,E 20 000 metros quadrados,A,"{'A': 0.6289107303509255, 'C': 0.2173457391260831, 'B': 0.09347923756408144, 'D': 0.058497812097630976, 'E': 0.001766480861278906}"
QUESTÃO 135,"Os riscos apresentados pelos produtos dependem de suas propriedades e da reatividade quando em contato com outras substâncias. Para prevenir os riscos devido à natureza química dos produtos, devemos conhecer a lista de substâncias incompatíveis e de uso cotidiano em fábricas, hospitais e laboratórios, a fim de observar cuidados na estocagem, manipulação e descarte. O quadro elenca algumas dessas incompatibilidades, que podem levar à ocorrência de acidentes. Descrição do quadro: Apresenta substâncias e suas respectivas incompatibilidades e riscos associados. Substância: Ácidos minerais fortes concentrados — Incompatibilidade: Bases fortes, Cianetos e Hipoclorito de sódio — Riscos associados: Reação enérgica, explosão, produção de oxidante forte e produto tóxico. Substância: Ácido nítrico concentrado — Incompatibilidade: Matéria orgânica — Riscos associados: Reação enérgica, explosão e produto tóxico. Considere que houve o descarte indevido de dois conjuntos de substâncias: (1) ácido clorídrico concentrado com cianeto de potássio; (2) ácido nítrico concentrado com sacarose. O descarte dos conjuntos (1) e (2) resultará, respectivamente, em",A liberação de gás tóxico e reação oxidativa forte.,B reação oxidativa forte e liberação de gás tóxico.,C formação de sais tóxicos e reação oxidativa forte.,D liberação de gás tóxico e liberação de gás oxidante.,E formação de sais tóxicos e liberação de gás oxidante.,A,"{'A': 0.9982196647077487, 'B': 0.0011152717724389487, 'D': 0.0006556344523062647, 'E': 8.649308679386157e-06, 'C': 7.797588266529935e-07}"
QUESTÃO 136,"A esperança de vida ao nascer é o número médio de anos que um indivíduo tende a viver a partir de seu nascimento, considerando dados da população. No Brasil, esse número vem aumentando consideravelmente, como mostra o gráfico. Descrição da imagem: Gráfico intitulado Esperança de vida ao nascer , em que o eixo horizontal refere-se aos anos de 2008 a 2013 e eixo vertical refere-se às idades de 72 a 75 anos, é formado por segmentos de reta ascendentes. O gráfico inicia-se no ponto (2008; 72,78), ascende até (2009; 73,09), ascende até (2010; 73,4), ascende até (2011; 73,67), ascende até (2012; 73,95) e ascende até o ponto final (2013; 74,23). Pode-se observar que a esperança de vida ao nascer em 2012 foi exatamente a média das registradas nos anos de 2011 e 2013. Suponha que esse fato também ocorreu com a esperança de vida ao nascer em 2013, em relação às esperanças de vida de 2012 e de 2014. Caso a suposição feita tenha sido confirmada, a esperança de vida ao nascer no Brasil no ano de 2014 terá sido, em ano, igual a","A 74,23.","B 74,51.","C 75,07.","D 75,23.","E 78,49.",B,"{'B': 0.9871612676417378, 'D': 0.012820986233461541, 'A': 1.5011831499204316e-05, 'C': 2.4506141259600832e-06, 'E': 2.8367917547369453e-07}"
QUESTÃO 137,"Um minuto-luz é uma unidade de medida de distância que corresponde à distância percorrida pela luz durante 1 minuto. Uma outra unidade de medida é o parsec, descrita a seguir. Considere que a órbita da Terra seja circular e que o tempo que a luz do Sol demora para chegar à Terra seja de 8 minutos. Suponha que a Terra (T), o Sol (S) e uma estrela (E) formem um triângulo retângulo como na figura seguinte. Se o ângulo T, E, S medir 1 segundo (isto é, 1 grau dividido por 3 600) dizemos que a distância da estrela E ao sol S é de 1 parsec. Descrição da imagem: Figura representa um triângulo retângulo de vértices T, E e S, com ângulo reto em S. O cateto ST é o menor. Há uma circunferência tracejada, representando uma órbita, centrada em S, com raio ST e com T pertencente à circunferência. Use 5 vezes, abre parêntese, 10 elevado a menos 6, fecha parêntese, como valor aproximado para tangente de, abre parêntese, 1 grau dividido por 3 600, fecha parêntese. Quantos minutos-luz tem 10 parsec aproximadamente?","A 4 vezes, abre parêntese, 10 elevado a menos 5, fecha parêntese","B 4 vezes, abre parêntese, 10 elevado a menos 4, fecha parêntese","C 8 vezes, abre parêntese , 10 elevado a 5, fecha parêntese","D 1,6 vezes, abre parêntese, 10 elevado a 6, fecha parêntese","E 1,6 vezes, abre parêntese, 10 elevado a 7, fecha parêntese",D,"{'D': 0.9164062595103935, 'E': 0.0826165263259698, 'C': 0.00043353187203152183, 'B': 0.00040726550373239176, 'A': 0.0001364167878727753}"
QUESTÃO 138,"Ao escutar a notícia de que um filme recém-lançado arrecadou, no primeiro mês de lançamento, 1,35 bilhão de reais em bilheteria, um estudante escreveu corretamente o número que representa essa quantia, com todos os seus algarismos. O número escrito pelo estudante foi","A 135 000,00.","B 1 350 000,00.","C 13 500 000,00.","D 135 000 000,00.","E 1 350 000 000,00.",E,"{'E': 0.9999054891751197, 'D': 8.888039998415013e-05, 'B': 2.190580649826622e-06, 'C': 2.0902666584076787e-06, 'A': 1.3495775878422716e-06}"
