QUESTÃO 121,"Em um autódromo, os carros podem derrapar em uma curva e bater na parede de proteção. Para diminuir o impacto de uma batida, pode-se colocar na parede uma barreira de pneus, isso faz com que a colisão seja mais demorada e o carro retorne com velocidade reduzida. Outra opção é colocar uma barreira de blocos de um material que se deforma, tornando-a tão demorada quanto a colisão com os pneus, mas que não permite a volta do carro após a colisão. Comparando as duas situações, como ficam a força média exercida sobre o carro e a energia mecânica dissipada?","A A força é maior na colisão com a barreira de pneus, e a energia dissipada é maior na colisão com a barreira de blocos.","B A força é maior na colisão com a barreira de blocos, e a energia dissipada é maior na colisão com a barreira de pneus.","C A força é maior na colisão com a barreira de blocos, e a energia dissipada é a mesma nas duas situações.","D A força é maior na colisão com a barreira de pneus, e a energia dissipada é maior na colisão com a barreira de pneus.","E A força é maior na colisão com a barreira de blocos, e a energia dissipada é maior na colisão com a barreira de blocos."
QUESTÃO 122,"A penicilamina é um medicamento de uso oral utilizado no tratamento de várias doenças. Esse composto é excretado na urina, cujo pH se situa entre 5 e 7. A penicilamina, cuja fórmula estrutural plana está apresentada, possui três grupos funcionais que podem ser ionizados: • carboxila: ligação simples COOH, cujo p K a é igual a 1,8; • amino: ligação simples NH2, que pode ser convertido em amínio ( ligação simples NH3 de carga positiva , cujo p K a é igual a 7,9); • tiol: ligação simples SH, cujo p K a é igual a 10,5. Sabe-se que p K a é igual a menos logaritmo de K a. Descrição da estrutura química da penicilamina: No centro da estrutura representada, há 2 átomos de carbono com ligação simples entre si. Cada carbono faz três ligações simples com outros grupos. No primeiro carbono, estão ligados: um grupo SH, um grupo CH 3 e outro grupo CH3 . No segundo carbono, estão ligados: um grupo H, um grupo COOH e um grupo NH2. Qual estrutura derivada da penicilamina é predominantemente encontrada na urina?","A Descrição da estrutura química: Estrutura derivada da penicilamina com os grupos: S de carga negativa, COO de carga negativa e NH2.","B Descrição da estrutura química: Estrutura derivada da penicilamina com os grupos: S de carga negativa, COOH e NH2.","C Descrição da estrutura química: Estrutura derivada da penicilamina com os grupos: SH, COO de carga negativa e NH3 de carga positiva.","D Descrição da estrutura química: Estrutura derivada da penicilamina com os grupos: S de carga negativa, COOH e NH3 de carga positiva.","E Descrição da estrutura química: Estrutura derivada da penicilamina com os grupos: SH, COOH e NH3 de carga positiva."
QUESTÃO 123,"Tribologia é o estudo da interação entre duas superfícies em contato, como desgaste e atrito, sendo de extrema importância na avaliação de diferentes produtos e de bens de consumo em geral. Para testar a conformidade de uma muleta, realiza-se um ensaio tribológico, pressionando-a verticalmente contra o piso com uma força vetor F , conforme ilustra a imagem, em que CM representa o centro de massa da muleta. Descrição da imagem: Ilustração de uma muleta como uma barra vertical apoiada sobre o chão. No centro da muleta, há a indicação do seu centro de massa (CM). Na extremidade superior da barra, há uma seta vertical para baixo com a indicação do vetor F. Mantendo-se a força vetor F paralela à muleta, varia-se lentamente o ângulo entre a muleta e a vertical, até o máximo ângulo imediatamente anterior ao de escorregamento, denominado ângulo crítico. Esse ângulo também pode ser calculado a partir da identificação dos pontos de aplicação, da direção e do sentido das forças peso (vetor P), normal (vetor N) e de atrito estático (vetor fe). O esquema que representa corretamente todas as forças que atuam sobre a muleta , apoiada no chão e inclinada para a direita, quando ela atinge o ângulo crítico é:","A Descrição do esquema: Na extremidade superior da barra, há uma seta vertical para baixo com a indicação do vetor F. No ponto onde a barra toca o chão, há três setas: uma vertical para cima, indicando o vetor N, uma horizontal para a direita, indicando o vetor fe, e uma vertical para baixo, indicando o vetor P.","B Descrição do esquema: Na extremidade superior da barra, há uma seta vertical para baixo com a indicação do vetor F. No centro de massa há duas setas, uma vertical para cima, indicando vetor N, e uma vertical para baixo indicando o vetor P. No ponto onde a barra toca o chão, há uma seta horizontal para a esquerda, indicando o vetor fe.","C Descrição do esquema: Na extremidade superior da barra, há uma seta com a mesma direção da barra e sentido da extremidade inferior, com a indicação do vetor F. No ponto onde a barra toca o chão, há três setas: uma vertical para cima, indicando o vetor N, uma seta vertical para baixo, indicando vetor P, e uma horizontal para a direita, indicando o vetor fe.","D Descrição do esquema: Na extremidade superior da barra, há uma seta com a mesma direção da barra e sentido da extremidade inferior, com a indicação do vetor F. No centro de massa, há duas setas: uma vertical para cima, indicando o vetor N, e uma vertical para baixo, indicando o vetor P. No ponto onde a barra toca o chão, há uma seta horizontal para a esquerda, indicando o vetor fe.","E Descrição do esquema: Na extremidade superior da barra, há uma seta com a mesma direção da barra e sentido da extremidade inferior, com a indicação do vetor F. No centro de massa, há uma seta vertical para baixo, indicando o vetor P. No ponto onde a barra toca o chão, há duas setas: uma vertical para cima, indicando o vetor N, e uma horizontal para a direita, indicando o vetor fe."
QUESTÃO 124,"A extinção de espécies é uma ameaça real que afeta diversas regiões do país. A introdução de espécies exóticas pode ser considerada um fator maximizador desse processo. A jaqueira ( Artocarpus heterophyllus ) , por exemplo, é uma árvore originária da Índia e de regiões do Sudeste Asiático que foi introduzida ainda na era colonial e se aclimatou muito bem em praticamente todo o território nacional. Casos como o dessa árvore podem provocar a redução da biodiversidade, pois elas",A ocupam áreas de vegetação nativa e substituem parcialmente a flora original.,B estimulam a competição por seus frutos entre animais típicos da região e eliminam as espécies perdedoras.,C alteram os nichos e aumentam o número de possibilidades de relações entre os seres vivos daquele ambiente.,D apresentam alta taxa de reprodução e se mantêm com um número de indivíduos superior à capacidade suporte do ambiente.,E diminuem a relação de competição entre os polinizadores e facilitam a ação de dispersores de sementes de espécies nativas.
QUESTÃO 125,"Em um dia de calor intenso, dois colegas estão a brincar com a água da mangueira. Um deles quer saber até que altura o jato de água alcança, a partir da saída de água, quando a mangueira está posicionada totalmente na direção vertical. O outro colega propõe então o seguinte experimento: eles posicionarem a saída de água da mangueira na direção horizontal, a 1 metro de altura em relação ao chão, e então medirem a distância horizontal entre a mangueira e o local onde a água atinge o chão. A medida dessa distância foi de 3 metros, e a partir disso eles calcularam o alcance vertical do jato de água. Considere a aceleração da gravidade de 10 metros por segundo ao quadrado . O resultado que eles obtiveram foi de","A 1,50 metro.","B 2,25 metros.","C 4,00 metros.","D 4,50 metros.","E 5,00 metros."
QUESTÃO 126,"O etanol é um combustível produzido a partir da fermentação da sacarose presente no caldo de cana- -de-açúcar. Um dos fatores que afeta a produção desse álcool é o grau de deterioração da sacarose, que se inicia após o corte, por causa da ação de microrganismos. Foram analisadas cinco amostras de diferentes tipos de cana-de- -açúcar e cada uma recebeu um código de identificação. No quadro são apresentados os dados de concentração de sacarose e de microrganismos presentes nessas amostras. Descrição do quadro: Apresenta as concentrações iniciais de sacarose, em grama por litro, e as concentrações de microrganismos, em miligrama por litro, para os cinco códigos das amostras de cana-de-açúcar: RB72, RB84, RB92, SP79 e SP80. Amostra RB72: Concentração inicial de sacarose igual a 13,0 e a de microrganismos igual a 0,7. Amostra RB84: Concentração inicial de sacarose igual a 18,0 e a de microrganismos igual a 0,8. Amostra RB92: Concentração inicial de sacarose igual a 16,0 e a de microrganismos igual a 0,6. Amostra SP79: Concentração inicial de sacarose igual a 14,0 e a de microrganismos igual a 0,5. Amostra SP80: Concentração inicial de sacarose igual a 17,0 e a de microrganismos igual a 0,9.  Pretende-se escolher o tipo de cana-de-açúcar que conterá o maior teor de sacarose 10 horas após o corte e que, consequentemente, produzirá a maior quantidade de etanol por fermentação. Considere que existe uma redução de aproximadamente 50 por cento da concentração de sacarose nesse tempo, para cada 1,0 miligrama por litro de microrganismos presentes na cana-de-açúcar. Qual tipo de cana-de-açúcar deve ser escolhido?",A RB72,B RB84,C RB92,D SP79,E SP80
QUESTÃO 127,"Entre as diversas técnicas para diagnóstico da covid-19, destaca-se o teste genético. Considerando as diferentes variantes e cargas virais, um exemplo é a PCR, reação efetuada por uma enzima do tipo polimerase. Essa técnica permite identificar, com confiabilidade, o material genético do SARS-CoV-2, um vírus de RNA. Para comprovação da infecção por esse coronavírus, são coletadas amostras de secreções do indivíduo. Uma etapa que antecede a reação de PCR precisa ser realizada para permitir a amplificação do material genético do vírus. Essa etapa deve ser realizada para",A concentrar o RNA viral para otimizar a técnica.,B identificar nas amostras anticorpos anti-SARS-CoV-2.,"C proliferar o vírus em culturas, aumentando a carga viral.","D purificar ácidos nucleicos virais, facilitando a ação da enzima.",E obter moléculas de cDNA viral por meio da transcrição reversa.
QUESTÃO 128,"Biofísica: fundamentos e aplicações O quadro mostra valores de corrente elétrica e seus efeitos sobre o corpo humano. Descrição do quadro: Apresenta as correntes elétricas e seus respectivos danos físicos. Até 10 miliampères: dor e contração muscular. De 10 miliampères até 20 miliampères: aumento das contrações musculares. De 20 miliampères até 100 miliampères: parada respiratória. De 100 miliampères até 3 ampères: fribrilação ventricular. Acima de 3 ampères: parada cardíaca e queimaduras.   A corrente elétrica que percorrerá o corpo de um indivíduo depende da tensão aplicada e da resistência elétrica média do corpo humano. Esse último fator está intimamente relacionado com a umidade da pele, que seca apresenta resistência elétrica da ordem de 500 quilo-ohms , mas, se molhada, pode chegar a apenas 1 quilo-ohm . Apesar de incomum, é possível sofrer um acidente utilizando baterias de 12 volts. Considere que um indivíduo com a pele molhada sofreu uma parada respiratória ao tocar simultaneamente nos pontos A e B de uma associação de duas dessas baterias. Qual associação de baterias foi responsável pelo acidente?","A Descrição da associação de baterias: O ponto A está ligado ao polo positivo da primeira bateria, o polo negativo da primeira bateria está ligado ao polo positivo da segunda bateria, e o polo negativo da segunda bateria está ligado ao ponto B.","B Descrição da associação de baterias: O ponto A está ligado ao polo positivo da primeira bateria, o polo negativo da primeira bateria está ligado ao polo negativo da segunda bateria, e o polo positivo da segunda bateria está ligado ao ponto B.","C Descrição da associação de baterias: O ponto A está ligado ao polo negativo da primeira bateria, que está ligado ao polo negativo da segunda bateria. O polo positivo da primeira bateria está ligado ao polo positivo da segunda bateria, que está ligado ao ponto B.","D Descrição da associação de baterias: O ponto A está ligado ao polo negativo da primeira bateria, o polo positivo da primeira bateria está ligado ao polo positivo da segunda bateria, e o polo negativo da segunda bateria está ligado ao ponto B.",E Descrição da associação de baterias: O ponto A está ligado ao polo positivo da primeira bateria e ao polo negativo da segunda bateria. O ponto B está ligado ao polo negativo da primeira bateria e ao polo positivo da segunda bateria.
QUESTÃO 129,"Princípios de química: questionando a vida moderna e o meio ambiente O urânio é empregado como fonte de energia em reatores nucleares. Para tanto, o seu mineral deve ser refinado, convertido a hexafluoreto de urânio e posteriormente enriquecido, para aumentar de 0,7 por cento a 3 por cento a abundância de um isótopo específico — o urânio-235. Uma das formas de enriquecimento utiliza a pequena diferença de massa entre os hexafluoretos de urânio-235 e de urânio-238 para separá-los por efusão, precedida pela vaporização. Esses vapores devem efundir repetidamente milhares de vezes através de barreiras porosas formadas por telas com grande número de pequenos orifícios. No entanto, devido à complexidade e à grande quantidade de energia envolvida, cientistas e engenheiros continuam a pesquisar procedimentos alternativos de enriquecimento. Considerando a diferença de massa mencionada entre os dois isótopos, que tipo de procedimento alternativo ao da efusão pode ser empregado para tal finalidade?",A Peneiração.,B Centrifugação.,C Extração por solvente.,D Destilação fracionada.,E Separação magnética.
QUESTÃO 130,"A Agência Nacional de Vigilância Sanitária (Anvisa) aprovou um produto de terapia gênica no país, indicado para o tratamento da distrofia hereditária da retina. O procedimento é recomendado para crianças acima de 12 meses e adultos com perda de visão causada pela mutação do gene humano RPE65. O produto, elaborado por engenharia genética, é composto por um vírus, no qual foi inserida uma cópia do gene normal humano RPE65 para corrigir o funcionamento das células da retina. O sucesso dessa terapia advém do fato de que o produto favorecerá a",A correção do código genético para a tradução da proteína.,B alteração do RNA ribossômico ligado à síntese da proteína.,C produção de mutações benéficas para a correção do problema.,D liberação imediata da proteína normal na região ocular humana.,E expressão do gene responsável pela produção da enzima normal.
QUESTÃO 131,"O físico Hans C. Oersted observou que um fio transportando corrente elétrica produz um campo magnético. A presença do campo magnético foi verificada ao aproximar uma bússola de um fio conduzindo corrente elétrica. A figura ilustra um fio percorrido por uma corrente elétrica i , constante e com sentido para cima. Os pontos",",",e,"estão num plano transversal e equidistantes do fio. Em cada ponto foi colocada uma bússola. Descrição da imagem: A figura ilustra um plano sobre o qual há uma circunferência pontilhada onde estão os pontos A, B e C, respectivamente nas posições de 10 horas, 7 horas e 4 horas. No centro da circunferência, há uma reta, perpendicular ao plano, que representa o fio com uma seta para cima que indica o sentido da corrente elétrica. Ao lado dessa figura, há uma bússola que indica o Norte (na cor preta), na parte superior, e o Sul (na cor branca), na parte inferior. S N Considerando apenas o campo magnético por causa da corrente i , as respectivas configurações das bússolas nos pontos A , B e C serão A A Descrição da imagem: Todas as bússolas indicam o polo sul apontado para o centro da circunferência. B B Descrição da imagem: Todas as bússolas indicam o polo norte apontado para o centro da circunferência. C C Descrição da imagem: A bússola do ponto A está com o polo norte apontado no sentido horário. A bússola do ponto B está com o polo norte apontado para o centro da circunferência. A bússola do ponto C está com o polo norte apontado no sentido anti-horário.","D Descrição da imagem: As bússolas dos pontos A, B e C estão com o polo norte apontado no sentido anti-horário.","E Descrição da imagem: As bússolas dos pontos A, B e C estão com o polo norte apontado no sentido horário."
QUESTÃO 132,"Aplicações ambientais de persulfato: remediação de águas subterrâneas e solos contaminados A figura ilustra esquematicamente um processo de remediação de solos contaminados com tricloroeteno (TCE), um agente desengraxante. Em razão de vazamentos de tanques de estocagem ou de manejo inapropriado de resíduos industriais, ele se encontra presente em águas subterrâneas, nas quais forma uma fase líquida densa não aquosa (DNAPL) que se deposita no fundo do aquífero. Essa tecnologia de descontaminação emprega o íon persulfato (S 2O8 de carga dois menos), que é convertido no radical •SO4 de carga negativa por minerais que contêm Fe(3 ). O esquema representa de forma simplificada o mecanismo de ação química sobre o TCE e a formação dos produtos de degradação. Descrição das equações químicas da figura: O radical SO4 de carga negativa provoca as reações a seguir: o reagente TCE (ligação dupla entre os carbonos de número 1 e 2, dois C l ligados ao carbono de número 1 e um C l e um H ligados ao carbono de número 2) forma o ácido dicloroetanoico (ligação simples entre o grupo COOH e um carbono ligado a dois C l e um H), que forma o ácido etanodioico (dois grupos COOH ligados entre si). O ácido etanodioico forma o ácido metanoico (COOH ligado ao H), que forma, como produtos finais de degradação, H 2O, CO2 e C l de carga negativa.",A A A A Esse procedimento de remediação de águas subterrâneas baseia-se em reações de A A oxirredução.,B substituição.,C precipitação.,D desidratação.,E neutralização.
QUESTÃO 133,"De acordo com a Organização Mundial da Saúde, a filariose e a leishmaniose são consideradas doenças tropicais infecciosas e constituem uma preocupação para a saúde pública por ser alto o índice de mortalidade a elas associado. Uma medida profilática comum a essas duas doenças é o(a)",A incineração do lixo orgânico.,B construção de rede de esgoto.,C uso de vermífugo pela população.,D controle das populações dos vetores.,E consumo de carnes vermelhas bem cozidas.
QUESTÃO 134,"Parque Solar Lapa entra em operação Em 2017, foi inaugurado, no estado da Bahia, o Parque Solar Lapa, composto por duas usinas (Bom Jesus da Lapa e Lapa) e capaz de gerar cerca de 300 gigawatts-hora de energia por ano. Considere que cada usina apresente potência igual a 75 megawatts , com o parque totalizando uma potência instalada de 150 megawatts . Considere ainda que a irradiância solar média é de 1 500 watts por metro quadrado e que a eficiência dos painéis é de 20 por cento. Nessas condições, a área total dos painéis solares que compõem o Parque Solar Lapa é mais próxima de:",A 1 000 000 de metros quadrados,B 500 000 metros quadrados,C 250 000 metros quadrados,D 100 000 metros quadrados,E 20 000 metros quadrados
QUESTÃO 135,"Os riscos apresentados pelos produtos dependem de suas propriedades e da reatividade quando em contato com outras substâncias. Para prevenir os riscos devido à natureza química dos produtos, devemos conhecer a lista de substâncias incompatíveis e de uso cotidiano em fábricas, hospitais e laboratórios, a fim de observar cuidados na estocagem, manipulação e descarte. O quadro elenca algumas dessas incompatibilidades, que podem levar à ocorrência de acidentes. Descrição do quadro: Apresenta substâncias e suas respectivas incompatibilidades e riscos associados. Substância: Ácidos minerais fortes concentrados — Incompatibilidade: Bases fortes, Cianetos e Hipoclorito de sódio — Riscos associados: Reação enérgica, explosão, produção de oxidante forte e produto tóxico. Substância: Ácido nítrico concentrado — Incompatibilidade: Matéria orgânica — Riscos associados: Reação enérgica, explosão e produto tóxico. Considere que houve o descarte indevido de dois conjuntos de substâncias: (1) ácido clorídrico concentrado com cianeto de potássio; (2) ácido nítrico concentrado com sacarose. O descarte dos conjuntos (1) e (2) resultará, respectivamente, em",A liberação de gás tóxico e reação oxidativa forte.,B reação oxidativa forte e liberação de gás tóxico.,C formação de sais tóxicos e reação oxidativa forte.,D liberação de gás tóxico e liberação de gás oxidante.,E formação de sais tóxicos e liberação de gás oxidante.
QUESTÃO 136,"A esperança de vida ao nascer é o número médio de anos que um indivíduo tende a viver a partir de seu nascimento, considerando dados da população. No Brasil, esse número vem aumentando consideravelmente, como mostra o gráfico. Descrição da imagem: Gráfico intitulado Esperança de vida ao nascer , em que o eixo horizontal refere-se aos anos de 2008 a 2013 e eixo vertical refere-se às idades de 72 a 75 anos, é formado por segmentos de reta ascendentes. O gráfico inicia-se no ponto (2008; 72,78), ascende até (2009; 73,09), ascende até (2010; 73,4), ascende até (2011; 73,67), ascende até (2012; 73,95) e ascende até o ponto final (2013; 74,23). Pode-se observar que a esperança de vida ao nascer em 2012 foi exatamente a média das registradas nos anos de 2011 e 2013. Suponha que esse fato também ocorreu com a esperança de vida ao nascer em 2013, em relação às esperanças de vida de 2012 e de 2014. Caso a suposição feita tenha sido confirmada, a esperança de vida ao nascer no Brasil no ano de 2014 terá sido, em ano, igual a","A 74,23.","B 74,51.","C 75,07.","D 75,23.","E 78,49."
QUESTÃO 137,"Um minuto-luz é uma unidade de medida de distância que corresponde à distância percorrida pela luz durante 1 minuto. Uma outra unidade de medida é o parsec, descrita a seguir. Considere que a órbita da Terra seja circular e que o tempo que a luz do Sol demora para chegar à Terra seja de 8 minutos. Suponha que a Terra (T), o Sol (S) e uma estrela (E) formem um triângulo retângulo como na figura seguinte. Se o ângulo T, E, S medir 1 segundo (isto é, 1 grau dividido por 3 600) dizemos que a distância da estrela E ao sol S é de 1 parsec. Descrição da imagem: Figura representa um triângulo retângulo de vértices T, E e S, com ângulo reto em S. O cateto ST é o menor. Há uma circunferência tracejada, representando uma órbita, centrada em S, com raio ST e com T pertencente à circunferência. Use 5 vezes, abre parêntese, 10 elevado a menos 6, fecha parêntese, como valor aproximado para tangente de, abre parêntese, 1 grau dividido por 3 600, fecha parêntese. Quantos minutos-luz tem 10 parsec aproximadamente?","A 4 vezes, abre parêntese, 10 elevado a menos 5, fecha parêntese","B 4 vezes, abre parêntese, 10 elevado a menos 4, fecha parêntese","C 8 vezes, abre parêntese , 10 elevado a 5, fecha parêntese","D 1,6 vezes, abre parêntese, 10 elevado a 6, fecha parêntese","E 1,6 vezes, abre parêntese, 10 elevado a 7, fecha parêntese"
QUESTÃO 138,"Ao escutar a notícia de que um filme recém-lançado arrecadou, no primeiro mês de lançamento, 1,35 bilhão de reais em bilheteria, um estudante escreveu corretamente o número que representa essa quantia, com todos os seus algarismos. O número escrito pelo estudante foi","A 135 000,00.","B 1 350 000,00.","C 13 500 000,00.","D 135 000 000,00.","E 1 350 000 000,00."
QUESTÃO 139,"O governo de um estado pretende realizar uma obra de infraestrutura para auxiliar na integração e no processo de escoamento da produção agrícola de duas cidades. O projeto consiste na interligação direta das cidades A e B com a Rodovia 003, pela construção das Rodovias 001 e 002. As duas rodovias serão construídas em linha reta e deverão se conectar à Rodovia 003 em um mesmo ponto, conforme esboço apresentado na figura, na qual estão também indicadas as posições das cidades A e B, considerando o eixo x posicionado sobre a Rodovia 003, e cinco localizações sugeridas para o ponto de conexão entre as três rodovias. Descrição da imagem: Gráfico apresenta um sistema de eixos cartesianos em que ambos os eixos têm o quilômetro como unidade de medida. O eixo x se situa sobre a Rodovia 003. A cidade A está situada no ponto de coordenadas (20; 40), e a cidade B está situada no ponto de coordenadas (50; 20). Há cinco pontos marcados sobre o eixo x , que indicam cinco sugestões para o ponto de conexão entre as três rodovias. Os trajetos sugeridos para a Rodovia 001 estão representados por segmentos de reta tracejados, e para a Rodovia 002 estão representados por segmentos de reta cheios. Coordenadas dos pontos de conexão: Ponto 1: (20; 0); Ponto 2: (30; 0); Ponto 3: (35; 0); Ponto 4: (40; 0); Ponto 5: (50; 0).  Pretende-se que a distância percorrida entre as duas cidades, pelas Rodovias 001 e 002, passando pelo ponto de conexão, seja a menor possível. Dadas as exigências do projeto, qual das localizações sugeridas deve ser a escolhida para o ponto de conexão?",A 1,B 2,C 3,D 4,E 5
QUESTÃO 140,"Uma pessoa precisa contratar um operário para fazer um serviço em sua casa. Para isso, ela postou um anúncio em uma rede social. Cinco pessoas responderam informando preços por hora trabalhada, gasto diário com transporte e tempo necessário para conclusão do serviço, conforme valores apresentados no quadro. Descrição da imagem: Quadro que apresenta informações do Operário em relação ao preço por hora em real, preço do transporte em real e tempo até conclusão em hora, mostra os seguintes dados: Operário 1: Preço por hora, 120 reais; preço do transporte, zero real; tempo até conclusão, 8 horas; Operário 2: Preço por hora, 180 reais; preço do transporte, zero real; tempo até conclusão, 6 horas; Operário 3: Preço por hora, 170 reais; preço do transporte, 20 reais; tempo até conclusão, 6 horas; Operário 4: Preço por hora, 110 reais; preço do transporte, 10 reais; tempo até conclusão, 9 horas; Operário 5: Preço por hora, 110 reais; preço do transporte, zero real; tempo até conclusão, 10 horas.  Se a pessoa pretende gastar o mínimo possível com essa contratação, irá contratar o operário",A 1.,B 2.,C 3.,D 4.,E 5.
QUESTÃO 141,"Uma cozinheira produz docinhos especiais por encomenda. Usando uma receita-base de massa, ela prepara uma porção, com a qual produz 50 docinhos maciços de formato esférico, com 2 centímetros de diâmetro. Um cliente encomenda 150 desses docinhos, mas pede que cada um tenha formato esférico com 4 centímetros de diâmetro. A cozinheira pretende preparar o número exato de porções da receita-base de massa necessário para produzir os docinhos dessa encomenda. Quantas porções da receita-base de massa ela deve preparar para atender esse cliente?",A 2,B 3,C 6,D 12,E 24
QUESTÃO 142,"Nos cinco jogos finais da última temporada, com uma média de 18 pontos por jogo, um jogador foi eleito o melhor do campeonato de basquete. Na atual temporada, cinco jogadores têm a chance de igualar ou melhorar essa média. No quadro estão registradas as pontuações desses cinco jogadores nos quatro primeiros jogos das finais deste ano. Descrição da imagem: Quadro que relaciona jogadores à quantidade de pontos marcados por jogo, mostra os seguintes dados: jogador 1: 12 no jogo 1; 25 no jogo 2; 20 no jogo 3; 20 no jogo 4; jogador 2: 12 no jogo 1; 12 no jogo 2; 27 no jogo 3; 20 no jogo 4; jogador 3: 14 no jogo 1; 14 no jogo 2; 17 no jogo 3; 26 no jogo 4; jogador 4: 15 no jogo 1; 18 no jogo 2; 21 no jogo 3; 21 no jogo 4; jogador 5: 22 no jogo 1; 15 no jogo 2; 23 no jogo 3; 15 no jogo 4.   O quinto e último jogo será realizado para decidir a equipe campeã e qual o melhor jogador da temporada. O jogador que precisa fazer a menor quantidade de pontos no quinto jogo, para igualar a média de pontos do melhor jogador da temporada passada, é o",A 1,B 2,C 3,D 4,E 5
QUESTÃO 143,"Um casal planeja construir em sua chácara uma piscina com o formato de um paralelepípedo reto retângulo com capacidade para 90 000 litros de água. O casal contratou uma empresa de construções que apresentou cinco projetos com diferentes combinações nas dimensões internas de profundidade, largura e comprimento. A piscina a ser construída terá revestimento interno em suas paredes e fundo com uma mesma cerâmica, e o casal irá escolher o projeto que exija a menor área de revestimento. As dimensões internas de profundidade, largura e comprimento, respectivamente, para cada um dos projetos, são: • projeto 1: 1,8 metro , 2,0 metros e 25,0 metros ; • projeto 2: 2,0 metros , 5,0 metros e 9,0 metros ; • projeto 3: 1,0 metro , 6,0 metros e 15,0 metros ; • projeto 4: 1,5 metro , 15,0 metros e 4,0 metros ; • projeto 5: 2,5 metros , 3,0 metros e 12,0 metros . O projeto que o casal deverá escolher será o",A 1,B 2,C 3,D 4,E 5
QUESTÃO 144,"Uma instituição de ensino superior ofereceu vagas em um processo seletivo de acesso a seus cursos. Finalizadas as inscrições, foi divulgada a relação do número de candidatos por vaga em cada um dos cursos oferecidos. Esses dados são apresentados no quadro. Descrição da imagem: Quadro que relaciona curso com número de vagas oferecidas e número de candidatos por vaga, mostra os seguintes dados: Administração: 30 vagas oferecidas e 6 candidatos por vaga; Ciências Contábeis: 40 vagas oferecidas e 6 candidatos por vaga; Engenharia Elétrica: 50 vagas oferecidas e 7 candidatos por vaga; História: 30 vagas oferecidas e 8 candidatos por vaga; Letras: 25 vagas oferecidas e 4 candidatos por vaga; Pedagogia: 25 vagas oferecidas e 5 candidatos por vaga.   Qual foi o número total de candidatos inscritos nesse processo seletivo?",A 200,B 400,C 1 200,D 1 235,E 7 200
QUESTÃO 145,"Peças metálicas de aeronaves abandonadas em aeroportos serão recicladas. Uma dessas peças é maciça e tem o formato cilíndrico, com a medida do raio da base igual a 4 centímetros e a da altura igual a 50 centímetros. Ela será derretida, e o volume de metal resultante será utilizado para a fabricação de esferas maciças com diâmetro de 1 centímetro, a serem usadas para confeccionar rolamentos. Para estimar a quantidade de esferas que poderão ser produzidas a partir de cada uma das peças cilíndricas, admite-se que não ocorre perda de material durante o processo de derretimento. Quantas dessas esferas poderão ser obtidas a partir de cada peça cilíndrica?",A 800,B 1 200,C 2 400,D 4 800,E 6 400
QUESTÃO 146,"Uma pessoa precisa se deslocar de automóvel do ponto P para o ponto Q , indicados na figura, na qual as linhas verticais e horizontais simbolizam ruas. Descrição da imagem: Figura de uma malha quadriculada com 7 linhas horizontais e 7 verticais, sobre a qual está traçado um trajeto poligonal, por meio de uma linha contínua sobre as linhas de grade da malha, unindo o ponto inicial P , localizado na segunda linha vertical, da esquerda para a direita, e entre a sexta e a sétima linhas horizontais, de cima para baixo, ao ponto final Q , que está localizado entre a sexta e a sétima linhas verticais, da esquerda para a direita, e sobre a segunda linha horizontal, de cima para baixo. O caminho poligonal está traçado segundo deslocamentos nos sentidos norte, sul e leste a partir do ponto P . A sequência de deslocamentos é: De P até o primeiro cruzamento no sentido norte; Desse ponto segue até o segundo cruzamento no sentido leste; Em seguida, toma o sentido norte até o segundo cruzamento; Posteriormente, toma o sentido leste até o próximo cruzamento; Depois, segue no sentido sul até o cruzamento seguinte; Segue para leste até o próximo cruzamento; Desse ponto, toma o sentido norte até o terceiro cruzamento; Por fim, toma o sentido leste até alcançar o ponto Q . Por causa do sentido de tráfego nessas ruas, o caminho poligonal destacado é a possibilidade mais curta de efetuar esse deslocamento. Para descrevê-lo, deve-se especificar qual o sentido a ser tomado em cada cruzamento de ruas, em relação à direção de deslocamento do automóvel, que se movimentará continuamente. Para isso, empregam-se as letras E, F e D para indicar “vire à esquerda”, “siga em frente” e “vire à direita”, respectivamente. A sequência de letras que descreve o caminho poligonal destacado é",A DDEFDDEEFFD.,B DFEFDDDEFFD.,C DFEFDDEEFFD.,D EFDFEEDDFFE.,E EFDFEEEDFFE.
QUESTÃO 147,"Uma loja comercializa cinco modelos de caixas-d’água ( 1, 2, 3, 4 e 5), todos em formato de cilindro reto de base circular. Os modelos 2, 3, 4 e 5 têm as especificações de suas dimensões dadas em relação às dimensões do modelo 1, cuja profundidade é P e área da base é","b, como segue: • modelo 2: o dobro da profundidade e a metade da área da base do modelo 1; • modelo 3: o dobro da profundidade e a metade do raio da base do modelo 1; • modelo 4: a metade da profundidade e o dobro da área da base do modelo 1; • modelo 5: a metade da profundidade e o dobro do raio da base do modelo 1. Uma pessoa pretende comprar nessa loja o modelo de caixa-d’água que ofereça a maior capacidade volumétrica. O modelo escolhido deve ser o A A 1.",B 2.,C 3.,D 4.,E 5.
