question,body,A,B,C,D,E,year,question_number,test,answer,language,CO_HABILIDADE,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA
QUESTÃO 35,"Dubai é uma cidade-estado planejada para estarrecer os visitantes. São tamanhos e formatos grandiosos, em hotéis e centros comerciais reluzentes, numa colagem de estilos e atrações que parece testar diariamente os limites da arquitetura voltada para o lazer. O maior shopping do tórrido Oriente Médio abriga uma pista de esqui, a orla do Golfo Pérsico ganha milionárias ilhas artificiais, o centro financeiro anuncia para breve a torre mais alta do mundo (a Burj Dubai) e tem ainda o projeto de um campo de golfe coberto! Coberto e refrigerado, para usar com sol e chuva, inverno e verão. No texto, são descritas algumas características da paisagem de uma cidade do Oriente Médio. Essas características descritas são resultado do(a)",criação de territórios políticos estratégicos.,preocupação ambiental pautada em decisões governamentais.,utilização de tecnologia para transformação do espaço.,demanda advinda da extração local de combustíveis fósseis.,emprego de recursos públicos na redução de desigualdades sociais.,2015,35,CH,C,portuguese,,1.02285,0.76582,0.22642,273
QUESTÃO 36,"No livro Nordeste , Gilberto Freyre escreve: Sabe-se o que era a mata do Nordeste, antes da monocultura da cana: um arvoredo tanto e tamanho e tão basto e de tantas prumagens que não podia homem dar conta. O canavial desvirginou todo esse mato grosso do modo mais cru: pela queimada. A fogo é que foram se abrindo no mato virgem os claros por onde se estendeu o canavial civilizador, mas ao mesmo tempo devastador. Analisando os desdobramentos da atividade canavieira sobre o meio físico, o autor salienta um paradoxo, caracterizado pelo(a)","demanda de trabalho, que favorecia a escravidão.","modelo civilizatório, que acarretou danos ambientais.","rudimento das técnicas produtivas, que eram ineficientes.","natureza da atividade econômica, que concentrou riqueza.","predomínio da monocultura, que era voltada para exportação.",2015,36,CH,B,portuguese,,2.26979,0.47351,0.19982,273
QUESTÃO 37,"Na sociedade democrática, as opiniões de cada um não são fortalezas ou castelos para que neles nos encerremos como forma de autoafirmação pessoal. Não só temos de ser capazes de exercer a razão em nossas argumentações, como também devemos desenvolver a capacidade de ser convencidos pelas melhores razões. A partir dessa perspectiva, a verdade buscada é sempre um resultado , não ponto de partida: e essa busca inclui a conversação entre iguais, a polêmica, o debate, a controvérsia. A ideia de democracia presente no texto, baseada na concepção de Habermas acerca do discurso, defende que a verdade é um(a)","alvo objetivo alcançável por cada pessoa, como agente racional autônomo.","critério acima dos homens, de acordo com o qual podemos julgar quais opiniões são as melhores.","construção da atividade racional de comunicação entre os indivíduos, cujo resultado é um consenso.","produto da razão, que todo indivíduo traz latente desde o nascimento, mas que só se firma no processo educativo.","resultado que se encontra mais desenvolvido nos espíritos elevados, a quem cabe a tarefa de convencer os outros.",2015,37,CH,C,portuguese,,1.40999,0.87428,0.20289,273
QUESTÃO 38,"Descrição da imagem: Fotografia que mostra um grande número de pessoas segurando faixas de protesto. No primeiro plano, há uma grande faixa com os dizeres: Fora Collor! Impeachment já! Na imagem, encontram-se referências a um momento de intensa agitação estudantil no país. Tal mobilização se explica pela",divulgação de denúncias de corrupção envolvendo o presidente da República.,criminalização dos movimentos sociais realizada pelo Governo Federal.,adoção do arrocho salarial implementada pelo Ministério da Fazenda.,compra de apoio político promovida pelo Poder Executivo.,violência da repressão estatal atribuída às Forças Armadas.,2015,38,CH,A,portuguese,,1.55271,0.11942,0.19389,273
QUESTÃO 39,"O reconhecimento da união homoafetiva levou o debate à esfera pública, dividindo opiniões. Apesar da grande repercussão gerada pela mídia, a população ainda não se faz suficientemente esclarecida, confundindo o conceito de união estável com casamento. Apesar de ter sido legitimado pelo Supremo Tribunal Federal (STF), o reconhecimento da união homoafetiva é fruto do protagonismo dos movimentos sociais como um todo. As decisões em favor das minorias, tomadas pelo Poder Judiciário, foram possíveis pela organização desses grupos. Ainda que não sejam assimiladas por toda a população, essas mudanças",contribuem para a manutenção da ordem social.,reconhecem a legitimidade desses pleitos.,dependem da iniciativa do Poder Legislativo Federal.,resultam na celebração de um consenso político.,excedem o princípio da iso nomia jurídica.,2015,39,CH,B,portuguese,,2.17772,1.61528,0.17107,273
QUESTÃO 40,"Em 1881, a Câmara dos Deputados aprovou uma reforma na lei eleitoral brasileira, a fim de introduzir o voto direto. A grande novidade, porém, ficou por conta da exigência de que os eleitores soubessem ler e escrever. As consequências logo se refletiram nas estatísticas. Em 1872, havia mais de 1 milhão de votantes, já em 1886, pouco mais de 100 mil cidadãos participaram das eleições parlamentares. Houve um corte de quase 90 por cento do eleitorado. Nas últimas décadas do século XIX, o Império do Brasil passou por transformações como as descritas, que representaram a",ascensão dos “homens bons”.,restrição dos direitos políticos.,superação dos currais eleitorais.,afirmação do eleitorado monarquista.,ampliação da representação popular.,2015,40,CH,B,portuguese,,1.61671,1.63073,0.22094,273
QUESTÃO 41,"Em 1943, Getúlio Vargas criou o Departamento de Propaganda e Difusão Cultural junto ao Ministério da Justiça, esvaziando o Ministério da Educação não só da propaganda, mas também do rádio e do cinema. A decisão tinha como objetivo colocar os meios de comunicação de massa a serviço direto do Poder Executivo, iniciativa que tinha inspiração direta no recém-criado Ministério da Propaganda alemão. No contexto citado, a transferência de funções entre ministérios teve como finalidade o(a)",desativação de um sistema tradicional de comunicação voltado para a educação.,controle do conteúdo da informação por meio de uma orientação política e ideológica.,subordinação do Ministério da Educação ao Ministério da Justiça e ao Poder Executivo.,ampliação do raio de atuação das emissoras de rádio como forma de difusão da cultura popular.,demonstração de força política do Executivo diante de ministérios herdados do governo anterior.,2015,41,CH,B,portuguese,,2.43926,0.43916,0.20033,273
QUESTÃO 42,"A população negra teve que enfrentar sozinha o desafio da ascensão social, e frequentemente procurou fazê-lo por rotas originais, como o esporte, a música e a dança. Esporte, sobretudo o futebol, música, sobretudo o samba, e dança, sobretudo o carnaval, foram os principais canais de ascensão social dos negros até recentemente. A libertação dos escravos não trouxe consigo a igualdade efetiva. Essa igualdade era afirmada nas leis, mas negada na prática. Ainda hoje, apesar das leis, aos privilégios e arrogâncias de poucos correspondem o desfavorecimento e a humilhação de muitos. Em relação ao argumento de que no Brasil existe uma democracia racial, o autor demonstra que",essa ideologia equipara a nação a outros países modernos.,esse modelo de democracia foi possibilitado pela miscigenação.,essa peculiaridade nacional garantiu mobilidade social aos negros.,esse mito camuflou formas de exclusão em relação aos afrodescendentes.,essa dinâmica política depende da participação ativa de todas as etnias.,2015,42,CH,D,portuguese,,3.35048,0.84549,0.17939,273
QUESTÃO 43,"TEXTO I Os problemas ambientais são consequência direta da intervenção humana nos diferentes ecossistemas da Terra, causando desequilíbrios no meio ambiente e comprometendo a qualidade de vida. TEXTO II Descrição da imagem: Três imagens representam as geleiras da Groenlândia e mostram o impacto dos problemas ambientais. A primeira imagem é do ano de 1992 e mostra que ocorreu um impacto pequeno nas extremidades da geleira. A segunda imagem é do ano de 2002 e mostra que o impacto ambiental aumentou nas extremidades da geleira e que começa a avançar para o centro. A terceira imagem, do ano de 2005, mostra que o impacto ambiental aumentou, comprometendo toda a parte inferior da geleira e a extremidade superior esquerda. As imagens representam as geleiras da Groenlândia, que sofreram e sofrem impactos, resultantes do(a)",ilha de calor.,chuva ácida.,erosão eólica.,inversão térmica.,aquecimento global.,2015,43,CH,E,portuguese,,1.50768,-0.97123,0.20262,273
QUESTÃO 44,"A crescente conscientização sobre os efeitos do modelo intensivo de produção, adotado de forma geral na agricultura, tem gerado também uma série de reações. De fato, a agricultura está cada vez mais pressionada pelo conjunto de relações que mantém com a sociedade em geral, sendo emergente o que comumente se denomina “questão ambiental”. Essas relações, às vezes de dependência, às vezes de conflito, são as que determinam uma chamada ampla para mudanças orientadas à sustentabilidade, não só da atividade agrícola em si, senão que afete de maneira geral a todo o entorno no qual a agricultura está inserida. No texto, faz-se referência a um tipo de pressão da sociedade contemporânea sobre a agricultura. Essa pressão objetiva a seguinte transformação na atividade agrícola:",Ampliação de políticas de financiamento voltadas para a produção de transgênicos.,Modernização do modo de produção focado na alta produtividade da terra.,Expansão do agronegócio relacionado ao mercado consumidor externo.,Promoção de práticas destinadas à conservação de recursos naturais.,Inserção de modelos orientados ao uso intensivo de agroquímicos.,2015,44,CH,D,portuguese,,2.20567,0.68027,0.20512,273
QUESTÃO 45,"Uma dimensão da flexibilização do tempo de trabalho é a sutileza cada vez maior das fronteiras que separam o espaço de trabalho e o do lar, o tempo de trabalho e o de não trabalho. Os mecanismos modernos de comunicação permitem que, no horário de descanso, os trabalhadores permaneçam ligados à empresa. Mesmo não exercendo diretamente suas atividades profissionais, o trabalhador fica à disposição da empresa ou leva problemas para refletir em casa. É muito comum o trabalhador estar de plantão, para o caso de a empresa ligar para o seu celular ou pager . A remuneração para esse estado de alerta é irrisória ou inexistente. A relação entre mudanças tecnológicas e tempo de trabalho apresentada pelo texto implica o",prolongamento da jornada de trabalho com a intensificação da exploração.,aumento da fragmentação da produção com a racionalização do trabalho.,privilégio de funcionários familiarizados com equipamentos eletrônicos.,crescimento da contratação de mão de obra pouco qualificada.,declínio dos salários pagos aos empregados mais idosos.  ,2015,45,CH,A,portuguese,,3.04414,0.29816,0.19909,273
