question,body,A,B,C,D,E,year,question_number,test,answer,language,CO_HABILIDADE,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA
QUESTÃO 123,"Os búfalos são animais considerados rústicos pelos criadores e, por isso, são deixados no campo sem controle reprodutivo. Por causa desse tipo de criação, a consanguinidade é favorecida, proporcionando o aparecimento de enfermidades, como o albinismo, defeitos cardíacos, entre outros. Separar os animais de forma adequada minimizaria a ocorrência desses problemas. enemo021 Qual procedimento biotecnológico prévio é recomendado nessa situação? ",Transgenia.,Terapia gênica.    ,Vacina de DNA. ,Clonagem terapêutica.,Mapeamento genético.,2021,123,CN,E,portuguese,11.0,0.92989,-0.72714,0.02105,916
QUESTÃO 124,"O ciclo do cobre é um experimento didático em que o cobre metálico é utilizado como reagente de partida. Após uma sequência de reações (1, 2,3, 4 e 5), 0 cobre retorna ao seu estado inicial ao final do ciclo. enemoZ1 Descrição da imagem: Ciclo do cobre com as etapas numeradas de 1 a 5. Etapa 1 - O cobre reage com HNO,, formando Cu, abre parêntese, NO,, fecha parêntese, 2. Etapa 2 - O Cu, abre parêntese, NO,, fecha parêntese, 2, reage com NaOH, formando Cu, abre parêntese, OH, fecha parêntese, 2. Etapa 3 - O Cu, abre parêntese, OH, fecha parêntese, 2, sofre aquecimento, formando CuoO. Etapa 4 - O CuO reage com H SO,, formando CuSO.. Etapa 5 - O CuSO, reage com Zn e HCl, formando cobre. A reação de redução do cobre ocorre na etapa ",1,2,3,4,5,2021,124,CN,E,portuguese,24.0,3.2481,1.38461,0.17112,916
QUESTÃO 125,"Um dos exames clínicos mais tradicionais para medir a capacidade reflexa dos indivíduos é o exame do reflexo patelar. Esse exame consiste na estimulação da patela, um pequeno osso localizado na parte anterior da articulação do joelho, com um pequeno martelo. A resposta reflexa ao estímulo é caracterizada pelo levantamento da perna em que o estímulo foi aplicado. enem2021 Qual região específica do sistema nervoso coordena essa resposta? ",Ponte. ,Medula. ,Cerebelo.,Hipotálamo.,Neuro-hipófise. ,2021,125,CN,B,portuguese,14.0,2.39928,1.65732,0.14967,916
QUESTÃO 126,"Na montagem de uma cozinha para um restaurante, a escolha do material correto para as panelas é importante, pois a panela que conduz mais calor é capaz de cozinhar os alimentos mais rapidamente e, com isso, há economia de gás. A taxa de condução do calor depende da condutividade k do material, de sua área A, da diferença de temperatura delta T maiúsculo e da espessura d do material, sendo dada pela relação fração de numerador delta Q maiúsculo e denominador delta t minúsculo é igual a k vezes A vezes fração de numerador delta T maiúsculo e denominador d. Em panelas com dois materiais, a taxa de condução é dada por fração de numerador delta Q maiúsculo e denominador delta t minúsculo é igual a A vezes fração de numerador delta T maiúsculo e denominador, abre parêntese, fração de numerador df e denominador k1 somada à fração de numerador d2 e denominador k2, fecha parêntese, em que d1 e d2 são as espessuras dos dois materiais, e k1 e k2 são as condutividades de cada material. Os materiais mais comuns no mercado para panelas são o alumínio (k = 20 watts por metro por Kelvin), o ferro (k = 8 watts por metro por Kelvin) e o aço (k = 5 watts por metro por Kelvin) combinado com o cobre (k = 40 watts por metro por Kelvin). Compara-se uma panela de ferro, uma de alumínio e uma composta de metade da espessura em cobre e a outra metade da espessura em aço, todas com a mesma espessura total e com a mesma área de fundo. A ordem crescente da mais econômica para a menos econômica é ","cobre-aço, alumínio e ferro.","alumínio, cobre-aço e ferro. ","cobre-aço, ferro e alumínio."," alumínio, ferro e cobre-aço. ","ferro, alumínio e cobre-aço. ",2021,126,CN,B,portuguese,23.0,2.72669,1.99105,0.20284,916
QUESTÃO 127,"O fogão por indução consiste de um sistema de bobinas que induz corrente elétrica nas panelas. A corrente elétrica, ao percorrer a panela, irá transferir calor, responsável pelo cozimento dos alimentos. Na figura, a bobina 1, conectada à rede de tensão alternada, representa o fogão, e a bobina 2, conectada ao amperímetro, representa a panela. É comum encontrar fogões por indução com potência de 6,6 quilowatis sob tensão de 220 volts cuja eficiência de conversão de energia elétrica em térmica é de 90 por cento. enem2021 Descrição da imagem: Ilustração de uma rede elétrica conectada à bobina 1. À direita, e com os eixos paralelos à bobina 1, está a bobina 2, conectada ao amperímetro. As áreas das bobinas 1 e 2 são iguais.  Durante o funcionamento do fogão por indução, a corrente elétrica na bobina 1 irá induzir uma corrente elétrica na bobina 2 mais próxima de",3 ampères,27 ampères,30 ampères,33 ampères,37 ampères,2021,127,CN,B,portuguese,5.0,2.47865,2.07515,0.26191,916
QUESTÃO 128,"As plantas vasculares são compostas por três partes básicas: raiz, caule e folhas. A estrutura dessas partes pode variar entre as espécies, de acordo com adaptações específicas a diferentes modos de vida. Avicennia schaueriana é uma espécie de angiosperma caracterizada por apresentar pneumatóforos, caule liso e folhas com glândulas que expelem sal. A planta descrita está adaptada ao bioma ",Floresta de Araucárias., Floresta Amazônica., Manguezal. ,Caatinga. ,Cerrado. ,2021,128,CN,C,portuguese,28.0,2.45118,1.21723,0.21299,916
QUESTÃO 129,"Os pesticidas organoclorados foram amplamente empregados na agricultura, contudo, em razão das suas elevadas toxicidades e persistências no meio ambiente, eles foram banidos. Considere a aplicação de quinhentos gramas de um pesticida organoclorado em uma cultura e que, em certas condições, o tempo de meia-vida do pesticida no solo seja de 5 anos. A massa do pesticida no decorrer de 35 anos será mais próxima de","3,9 gramas."," 31,2 gramas. ","62,5 gramas. ","125,0 gramas."," 250,0 gramas.",2021,129,CN,A,portuguese,27.0,4.13911,0.76309,0.13487,916
QUESTÃO 130,"A sequência de nucleotídeos do RNA mensageiro presentes em um gene de um fungo, constituída de sete códons, está escrita a seguir. Descrição da imagem: Quadro que indica a sequência de letras que representa os 7 códons: 1-AUG, 2-UUU, 3-GUU, 4-CAA, 5-UGU, 6- AGU, 7-UAG. Pesquisadores submeteram a sequência a mutações independentes. Sabe-se que os códons UAG e UAA são terminais, ou seja, indicam a interrupção da tradução. Qual mutação produzirá a menor proteina? ",Deleção de G no códon 3., Substituição de C por U no códon 4. ,Substituição de G por C no códon 6., Substituição de A por G no códon 7. ,Deleção dos dois primeiros nucleotídeos no códon 5.,2021,130,CN,B,portuguese,15.0,2.78598,1.12828,0.24608,916
QUESTÃO 131,"A simples atitude de não jogar direto no lixo ou no ralo da pia o óleo de cozinha usado pode contribuir para a redução da poluição ambiental. Mas o que fazer com o óleo vegetal que não será mais usado”? Não existe um modelo ideal de descarte, mas uma alternativa simples tem sido reaproveitá-lo para fazer sabão. Para isso, são necessários, além do próprio óleo, água e soda cáustica. enem202i Com base no texto, a reação química que permite o reaproveitamento do óleo vegetal é denominada", redução. ,epoxidação. ,substituição., esterificação., saponificação. ,2021,131,CN,E,portuguese,19.0,1.83234,0.97623,0.19551,916
QUESTÃO 132,"Durante o desenvolvimento embrionário humano ocorre uma comunicação entre os átrios direito e esquerdo através do forame oval (ou forame de Botal). Essa comunicação não causa prejuízos à circulação do bebê em formação, exceto se ela perdurar após o nascimento. Os prejuízos no período embrionário são evitados porque a circulação fetal se assemelha à dos(as)","aves, porque a pequena circulação e a grande circulação estão presentes.","répteis, porque a mistura de sangue é minimizada por um metabolismo lento. ","crocodilianos, porque a separação dos ventrículos impede a mistura sanguínea. ","peixes, porque a circulação é simples, ocorrendo uma passagem única pelo coração. ","anfíbios, porque pressões diferenciais isolam temporalmente o sangue venoso do arterial.",2021,132,CN,D,portuguese,14.0,0.7292,3.81485,0.10881,916
QUESTÃO 133,"No cultivo por hidroponia, são utilizadas soluções nutritivas contendo macronutrientes e micronutrientes essenciais. Além dos nutrientes, o pH é um parâmetro de extrema importância, uma vez que ele afeta a preparação da solução nutritiva e a absorção dos nutrientes pelas plantas. Para o cultivo de alface, valores de pH entre 5,5 e 6,5 são ideais para o seu desenvolvimento. As correções de pH são feitas pela adição de compostos ácidos ou básicos, mas não devem introduzir elementos nocivos às plantas. Na tabela, são apresentados alguns dados da composição da solução nutritiva de referência para esse cultivo. Também é apresentada a composição de uma solução preparada por um produtor de cultivo hidropônico. Descrição da imagem: Tabela com algumas espécies químicas e suas respectivas concentrações em milimol por litro para a composição de referência, com pH entre 5,5 e 6,5, e, para a solução nutritiva preparada, com pH igual a 4,3. Macronutrientes: N, abre parêntese, NH, com carga positiva, fecha parêntese; concentrações: 1,0 e 0,8. P, abre parêntese, H,PO, com carga negativa, fecha parêntese; concentrações: 1,0 e 1,0. K com carga positiva; concentrações: 6,0 e 3,5. Ca com carga positiva 2; concentrações: 4,0 e 3,0. SO, com carga negativa 2; concentrações: 2,0 e 1,0. Micronutrientes: Fe com carga positiva 2; concentrações: 0,09 e 0,07. C/ com carga negativa; concentrações: valor indeterminado e 0,0045. Para correção do pH da solução nutritiva preparada, esse produtor pode empregar uma solução de ","ácido fosfórico, H3PO4.","sulfato de cálcio, CaSO4","óxido de alumínio, Al2O3.",". cloreto de ferro(2), FeCl2","hidróxido de potássio, KOH.",2021,133,CN,E,portuguese,12.0,2.57831,1.34841,0.19923,916
QUESTÃO 134,"O sino dos ventos é composto por várias barras metálicas de mesmo material e espessura, mas de comprimentos diferentes, conforme a figura. Descrição da imagem: Ilustração de um sino dos ventos formado por seis barras metálicas cilíndricas. Essas barras estão penduradas em uma circunferência e igualmente espaçadas. A barra mais curta corresponde ao comprimento 1 e a barra mais longa corresponde ao comprimento 2.  Considere f ev,, respectivamente, como a frequência fundamental e a velocidade de propagação do som emitido pela barra de menor comprimento, e f, e v, são essas mesmas grandezas para o som emitido pela barra de maior comprimento. As relações entre as frequências fundamentais e entre as velocidades de propagação são, respectivamente, ","f1, menor que f2, e v1, menor que v2.","f1, menor que f2, e v1, igual a v2.","f1, menor que f2, e v1, maior que v2.","f1, maior que f2, e v1, igual a v2. ","f1, maior que f2, e v1, maior que v2.",2021,134,CN,D,portuguese,1.0,3.01758,1.65693,0.15293,916
QUESTÃO 135,"O polvo mimético apresenta padrões cromáticos e comportamentos muito curiosos. Frequentemente, muda a orientação de seus tentáculos, assemelhando-se a alguns animais. As imagens 1, 3 e 5 apresentam polvos mimetizando, respectivamente, um peixe-linguado (2), um peixe-leão (4) e uma serpente-marinha (6). enemo021 enemo027 Descrição da imagem: Imagem 1: O polvo está com todos os tentáculos recolhidos para o mesmo lado, unidos junto ao corpo e assumindo um formato ovalado, semelhante ao do peixe-linguado, apresentado na imagem 2. Imagem 3: Os tentáculos do polvo aparecem abertos, semelhantes às múltiplas nadadeiras do peixe-leão, apresentado na imagem 4. Imagem 5: Os tentáculos do polvo estão divididos em duas direções opostas. De cada lado, esses tentáculos estão unidos e assumem um formato cilíndrico, que dão a aparência de um corpo cilíndrico longo, semelhante ao da serpente-marinha, apresentada na imagem 6.  Do ponto de vista evolutivo, a capacidade apresentada se estabeleceu porque os polvos", originaram-se do mesmo ancestral que esses animais. , passaram por mutações similares a esses organismos. , observaram esses animais em seus nichos ecológicos.,resultaram de convergência adaptativa com essas espécies.,sobreviveram às pressões seletivas com esses comportamentos.,2021,135,CN,E,portuguese,28.0,1.89221,0.64628,0.16333,916
